rhea_id,smiles_seq,canonical_reaction,has_reaction_smiles,precursor_class,product_skeleton_class
RHEA:77007,CC1(C)CC[C@@H](C(=O)[O-])[NH2+]C1.CC1CCC2C3(C)OC4(C)CC(O)C12CC4C3[NH2+]CCCCC[NH+](C)C.Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O>>[H][C@@]1(C(=O)OC2CC3(C)OC4(C)C([NH2+]CCCCC[NH+](C)C)C3CC23C(C)CCC43)CCC(C)(C)CN1.Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]1O.O=P([O-])([O-])OP(=O)([O-])O.[H+],CC1(C)CCC(C(=O)[O-])[NH2+]C1.CC1CCC2C3(C)OC4(C)CC(O)C12CC4C3[NH2+]CCCCC[NH+](C)C.Nc1ncnc2c1ncn2C1OC(COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])C(O)C1O>>CC1CCC2C3(C)OC4(C)CC(OC(=O)C5CCC(C)(C)CN5)C12CC4C3[NH2+]CCCCC[NH+](C)C.Nc1ncnc2c1ncn2C1OC(COP(=O)([O-])[O-])C(O)C1O.O=P([O-])([O-])OP(=O)([O-])O.[H+],True,C10_GPP_like,C_long_polycyclic_highly_oxygenated
RHEA:77071,CC(C)=CCC/C(C)=C/CC/C(C)=C/COP(=O)([O-])OP(=O)([O-])[O-]>>C=C(C)[C@H]1CC[C@@H](C)[C@]12CC=C(C)CC2.O=P([O-])([O-])OP(=O)([O-])O,CC(C)=CCCC(C)=CCCC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-]>>C=C(C)C1CCC(C)C12CC=C(C)CC2.O=P([O-])([O-])OP(=O)([O-])O,True,C15_FPP_like,C15_bicyclic_hydrocarbon
RHEA:77079,C[NH+](C)CCCCC[NH3+].CC1CCC2C3(C)[CH+]C4CC12CCC4(C)O3>>CC1CCC2C13CCC1(C)OC2(C)C([NH2+]CCCCC[NH+](C)C)C1C3.[H+],CC1CCC2C3(C)[CH+]C4CC12CCC4(C)O3.C[NH+](C)CCCCC[NH3+]>>CC1CCC2C13CCC1(C)OC2(C)C([NH2+]CCCCC[NH+](C)C)C1C3.[H+],True,C15_FPP_like,C20_polycyclic_oxygenated
RHEA:77963,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/COP(=O)([O-])OP(=O)([O-])[O-]>>[H][C@@]12C[C@@]3(C)CCC(C(C)C)=C3CC[C@@]1(C)CCCC2=C.O=P([O-])([O-])OP(=O)([O-])O,CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-]>>C=C1CCCC2(C)CCC3=C(C(C)C)CCC3(C)CC12.O=P([O-])([O-])OP(=O)([O-])O,True,C20_GGPP_like,C20_polycyclic_hydrocarbon
RHEA:77967,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/COP(=O)([O-])OP(=O)([O-])[O-]>>[H][C@@]12/C=C(C)CC/C=C(C)CC/C=C(C)CC/C=C(C)CC/C=C(C)CC[C@@]1([H])C2(C)C.O=P([O-])([O-])OP(=O)([O-])O,CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-]>>CC1=CCCC(C)=CCCC(C)=CC2C(CCC(C)=CCCC(C)=CCC1)C2(C)C.O=P([O-])([O-])OP(=O)([O-])O,True,C30_long_prenyl_like,C_long_bicyclic_hydrocarbon
RHEA:77971,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/COP(=O)([O-])OP(=O)([O-])[O-]>>[H][C@@]12CC/C(C)=C/CC/C(C)=C/C[C@@]1(C)CC=C2C(C)CC/C=C(C)CCC=C(C)C.O=P([O-])([O-])OP(=O)([O-])O,CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-]>>CC(C)=CCCC(C)=CCCC(C)C1=CCC2(C)CC=C(C)CCC=C(C)CCC12.O=P([O-])([O-])OP(=O)([O-])O,True,C30_long_prenyl_like,C_long_bicyclic_hydrocarbon
RHEA:77975,C=C(C)CCOP(=O)([O-])OP(=O)([O-])[O-].CC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-]>>CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/COP(=O)([O-])OP(=O)([O-])[O-].O=P([O-])([O-])OP(=O)([O-])O,C=C(C)CCOP(=O)([O-])OP(=O)([O-])[O-].CC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-]>>CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-].O=P([O-])([O-])OP(=O)([O-])O,True,C5_IPP_DMAPP_like,C_long_acyclic_highly_oxygenated
RHEA:77979,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/COP(=O)([O-])OP(=O)([O-])[O-].[H]O[H]>>CC(C)=CCC/C(C)=C/CC[C@](C)(O)[C@H]1C/C=C(C)CC/C=C(C)CC/C=C(C)CC1.O=P([O-])([O-])OP(=O)([O-])O,CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-].O>>CC(C)=CCCC(C)=CCCC(C)(O)C1CC=C(C)CCC=C(C)CCC=C(C)CC1.O=P([O-])([O-])OP(=O)([O-])O,True,C30_long_prenyl_like,C_long_mono_oxygenated
RHEA:78275,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/COP(=O)([O-])OP(=O)([O-])[O-]>>C/C1=CC[C@@]2(C)CCC(C(C)C)=C2CC/C(C)=C/CC1.O=P([O-])([O-])OP(=O)([O-])O,CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-]>>CC1=CCC2(C)CCC(C(C)C)=C2CCC(C)=CCC1.O=P([O-])([O-])OP(=O)([O-])O,True,C20_GGPP_like,C20_bicyclic_hydrocarbon
RHEA:78287,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/COP(=O)([O-])OP(=O)([O-])[O-]>>[H][C@@]12C(C)(C)CC[C@]1(C)C/C1=C(C)CC/C=C(C)CC[C@]12[H].O=P([O-])([O-])OP(=O)([O-])O,CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-]>>CC1=CCCC(C)=C2CC3(C)CCC(C)(C)C3C2CC1.O=P([O-])([O-])OP(=O)([O-])O,True,C20_GGPP_like,C20_polycyclic_hydrocarbon
RHEA:78291,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/COP(=O)([O-])OP(=O)([O-])[O-]>>CC(C)=CC/C=C(C)[C@H]1C/C=C(C)CC/C=C(C)CC/C=C(C)CC1.O=P([O-])([O-])OP(=O)([O-])O,CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-]>>CC(C)=CCC=C(C)C1CC=C(C)CCC=C(C)CCC=C(C)CC1.O=P([O-])([O-])OP(=O)([O-])O,True,C25_GFPP_like,C25_mono_hydrocarbon
RHEA:78399,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/COP(=O)([O-])OP(=O)([O-])[O-]>>[H][C@]12C[C@](C)(C/C=C3[C@](C)(CC[C@]4(C)CC[C@H](C(=C)C)[C@@]34[H])C1)CC[C@@H]2C.O=P([O-])([O-])OP(=O)([O-])O,CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-]>>C=C(C)C1CCC2(C)CCC3(C)CC4CC(C)(CC=C3C12)CCC4C.O=P([O-])([O-])OP(=O)([O-])O,True,C25_GFPP_like,C25_polycyclic_hydrocarbon
RHEA:78403,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/COP(=O)([O-])OP(=O)([O-])[O-].[H]O[H]>>[H][C@]12[C@@H]3CC[C@@]4(C)[C@H](O)CC[C@H](C)[C@@]34C[C@@]1(C)CCC2(C)C.O=P([O-])([O-])OP(=O)([O-])O,CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-].O>>CC1CCC(O)C2(C)CCC3C4C(C)(C)CCC4(C)CC132.O=P([O-])([O-])OP(=O)([O-])O,True,C20_GGPP_like,C20_polycyclic_oxygenated
RHEA:78407,[H][C@@]12C[C@]3(O)/C(C)=C4/CC[C@@H](C)[C@]4([H])CC[C@H](C)[C@@]3([H])C[C@@]1(C)CC[C@@H]2C(C)C.Cc1cc2c(cc1C)N(C[C@H](O)[C@H](O)[C@H](O)COP(=O)([O-])[O-])c1nc(=O)nc(=O)c1N2.O=O>>C/C1=C2CC[C@@H](C)[C@@H]2CC[C@H](C)[C@H]2C[C@@]3(C(=O)[O-])CC[C@H](C(C)C)[C@@H]3C[C@]12O.Cc1cc2nc3c(=O)[n-]c(=O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)COP(=O)([O-])[O-])c2cc1C.[H]O[H].[H+],[H][C@@]12C[C@]3(O)/C(C)=C4/CC[C@@H](C)[C@]4([H])CC[C@H](C)[C@@]3([H])C[C@@]1(C)CC[C@@H]2C(C)C.Cc1cc2c(cc1C)N(C[C@H](O)[C@H](O)[C@H](O)COP(=O)([O-])[O-])c1nc(=O)nc(=O)c1N2.O=O>>C/C1=C2CC[C@@H](C)[C@@H]2CC[C@H](C)[C@H]2C[C@@]3(C(=O)[O-])CC[C@H](C(C)C)[C@@H]3C[C@]12O.Cc1cc2nc3c(=O)[n-]c(=O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)COP(=O)([O-])[O-])c2cc1C.[H]O[H].[H+],True,C25_GFPP_like,C25_polycyclic_highly_oxygenated
RHEA:78655,CC(C)=CCC/C(C)=C/CC/C(C)=C/COP(=O)([O-])OP(=O)([O-])[O-]>>[H][C@@]12CC[C@@H](C)[C@@]13C=CC[C@@]3(C)CC2(C)C.O=P([O-])([O-])OP(=O)([O-])O,CC(C)=CCCC(C)=CCCC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-]>>CC1CCC2C(C)(C)CC3(C)CC=CC123.O=P([O-])([O-])OP(=O)([O-])O,True,C15_FPP_like,C15_polycyclic_hydrocarbon
RHEA:78979,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/COP(=O)([O-])OP(=O)([O-])[O-]>>[H][C@@]12C=C(C)CC[C@]13C(=C(C)CC[C@@H]2C(C)C)CC[C@H]3C.O=P([O-])([O-])OP(=O)([O-])O,CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-]>>CC1=CC2C(C(C)C)CCC(C)=C3CCC(C)C32CC1.O=P([O-])([O-])OP(=O)([O-])O,True,C20_GGPP_like,C20_polycyclic_hydrocarbon
RHEA:78983,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/COP(=O)([O-])OP(=O)([O-])[O-]>>[H][C@@]12CC[C@H](C)[C@@]13CCC(C)=C3C[C@@]1(C)CCC(C)(C)[C@]12[H].O=P([O-])([O-])OP(=O)([O-])O,CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-]>>CC1=C2CC3(C)CCC(C)(C)C3C3CCC(C)C23CC1.O=P([O-])([O-])OP(=O)([O-])O,True,C20_GGPP_like,C20_polycyclic_hydrocarbon
