seed,epoch,loss,reaction_loss,protein_loss,reaction_negative_exclusion_rate,protein_negative_exclusion_rate
20260723,1.0,2.3451058864593506,2.3584132194519043,2.331798553466797,0.010603351887464307,0.0055055198322755405
20260723,25.0,0.9332684278488159,0.7751966118812561,1.0913403034210205,0.010603351887464307,0.0055055198322755405
20260723,50.0,0.5601763725280762,0.3706054091453552,0.7497472763061523,0.010603351887464307,0.0055055198322755405
20260723,75.0,0.4311556816101074,0.2792002260684967,0.5831111669540405,0.010603351887464307,0.0055055198322755405
20260723,100.0,0.3640527129173279,0.24172548949718475,0.4863799214363098,0.010603351887464307,0.0055055198322755405
20260724,1.0,2.3743810653686523,2.4200024604797363,2.3287596702575684,0.010603351887464307,0.0055055198322755405
20260724,25.0,0.9256675243377686,0.7683091163635254,1.0830259323120117,0.010603351887464307,0.0055055198322755405
20260724,50.0,0.5555321574211121,0.3636928200721741,0.74737149477005,0.010603351887464307,0.0055055198322755405
20260724,75.0,0.4272672235965729,0.27255362272262573,0.58198082447052,0.010603351887464307,0.0055055198322755405
20260724,100.0,0.3683552145957947,0.2384101152420044,0.49830031394958496,0.010603351887464307,0.0055055198322755405
20260725,1.0,2.3653721809387207,2.390843629837036,2.3399009704589844,0.010603351887464307,0.0055055198322755405
20260725,25.0,0.9276100397109985,0.7634230852127075,1.0917969942092896,0.010603351887464307,0.0055055198322755405
20260725,50.0,0.557654619216919,0.3578397035598755,0.7574695348739624,0.010603351887464307,0.0055055198322755405
20260725,75.0,0.4319782257080078,0.26649248600006104,0.5974639654159546,0.010603351887464307,0.0055055198322755405
20260725,100.0,0.36617475748062134,0.23176726698875427,0.5005822777748108,0.010603351887464307,0.0055055198322755405
