epoch,hard_negatives,random_negatives,loss,r2e_contrastive,e2r_contrastive,r2e_topk,e2r_topk
1,80,8,7.5526631037394205,6.001730370521545,6.303208708763123,1.2957298099994659,1.844927845398585
2,80,8,5.503905606269837,4.373339227835337,4.262866961956024,1.196264750758807,1.087742559115092
3,80,8,4.276601775487264,3.419355622927348,3.174190338452657,0.9904633889595668,0.7915712018807729
4,80,8,3.5746257305145264,2.8945773084958395,2.6229942659536998,0.8288221557935079,0.6044927075505256
5,80,8,3.0293724139531455,2.485954674084981,2.2456648071606953,0.6713450357317925,0.4852106360097726
6,80,8,2.66882470647494,2.196303919951121,2.0156200071175894,0.5720835993687312,0.42089138527711234
7,80,8,2.3157068391640983,1.9263348817825316,1.765737650791804,0.47794048910339676,0.3433092748125394
8,80,8,2.186698381106059,1.8331269522507985,1.6712736944357554,0.4408904924988747,0.3116801812003056
