row,reaction_id,mapping_success,mapping_confidence,clipzyme_graph_prerequisite,clipzyme_supported,support_status
50,MARTS_EXT_RXN_37c622385e92,True,0.363914294211109,False,False,clipzyme_graph_prereq_failed:unmapped_atoms
51,MARTS_EXT_RXN_380c83705f05,True,0.3726318855213361,False,False,clipzyme_graph_prereq_failed:unmapped_atoms
52,MARTS_EXT_RXN_38d26f0aa1b1,True,0.2251412776949712,False,False,clipzyme_graph_prereq_failed:unmapped_atoms
53,MARTS_EXT_RXN_3abc72608e40,True,0.5575084952196421,False,False,clipzyme_graph_prereq_failed:unmapped_atoms
54,MARTS_EXT_RXN_3ae1fc659b14,True,0.642341241472752,False,False,clipzyme_graph_prereq_failed:unmapped_atoms
55,MARTS_EXT_RXN_3bed24cf1ac1,True,0.2857862994774601,False,False,clipzyme_graph_prereq_failed:unmapped_atoms
56,MARTS_EXT_RXN_3d09cb5fb800,True,0.6615628983991412,False,False,clipzyme_graph_prereq_failed:unmapped_atoms
57,MARTS_EXT_RXN_3fcdccf20787,True,0.4417338134829767,False,False,clipzyme_graph_prereq_failed:unmapped_atoms
58,MARTS_EXT_RXN_4016ec72d95a,True,0.261900867080805,False,False,clipzyme_graph_prereq_failed:unmapped_atoms
59,MARTS_EXT_RXN_412a1f752827,True,0.2731453407008956,False,False,clipzyme_graph_prereq_failed:unmapped_atoms
60,MARTS_EXT_RXN_42bfdab7b6fd,True,0.3384982624498527,False,False,clipzyme_graph_prereq_failed:unmapped_atoms
61,MARTS_EXT_RXN_4356ef28995d,True,0.3278412917337689,False,False,clipzyme_graph_prereq_failed:unmapped_atoms
62,MARTS_EXT_RXN_455979525191,True,0.0890138180794759,False,False,clipzyme_graph_prereq_failed:reactant_product_map_sets_differ
63,MARTS_EXT_RXN_45be1b4caa76,True,0.3251701111680819,False,False,clipzyme_graph_prereq_failed:unmapped_atoms
64,MARTS_EXT_RXN_480dcc05c335,True,0.6732926042276616,False,False,clipzyme_graph_prereq_failed:unmapped_atoms
65,MARTS_EXT_RXN_4959109219e5,True,0.2104409738489228,False,False,clipzyme_graph_prereq_failed:unmapped_atoms
66,MARTS_EXT_RXN_4b39e8d478ce,True,0.6446752466426621,False,False,clipzyme_graph_prereq_failed:unmapped_atoms
67,MARTS_EXT_RXN_4b410b511327,True,0.3380087149758201,False,False,clipzyme_graph_prereq_failed:unmapped_atoms
68,MARTS_EXT_RXN_4c4ba4bc0549,True,0.3875498273366728,True,True,encoded
69,MARTS_EXT_RXN_4ceba15356bf,True,0.1131691857386739,False,False,clipzyme_graph_prereq_failed:unmapped_atoms
70,MARTS_EXT_RXN_4cfa7e6347ac,True,0.3565211843725632,False,False,clipzyme_graph_prereq_failed:unmapped_atoms
71,MARTS_EXT_RXN_4d9779092922,True,0.0519809419936734,False,False,clipzyme_graph_prereq_failed:unmapped_atoms
72,MARTS_EXT_RXN_4e8885af0277,True,0.9415751820759674,False,False,clipzyme_graph_prereq_failed:unmapped_atoms
73,MARTS_EXT_RXN_4f0796dda836,True,0.103296002228078,False,False,clipzyme_graph_prereq_failed:unmapped_atoms
74,MARTS_EXT_RXN_4fcf7c82c333,True,0.5002160741712448,False,False,clipzyme_graph_prereq_failed:unmapped_atoms
75,MARTS_EXT_RXN_4ffa9a18599e,True,0.6458406500748991,False,False,clipzyme_graph_prereq_failed:unmapped_atoms
76,MARTS_EXT_RXN_510852dd5fb5,True,0.3882990861745842,False,False,clipzyme_graph_prereq_failed:unmapped_atoms
77,MARTS_EXT_RXN_51c6e7c89344,True,0.1437767942857351,False,False,clipzyme_graph_prereq_failed:unmapped_atoms
78,MARTS_EXT_RXN_5298c5c71be1,True,0.0521264355685515,False,False,clipzyme_graph_prereq_failed:unmapped_atoms
79,MARTS_EXT_RXN_529b3e1ea6d5,True,0.4385029215884194,False,False,clipzyme_graph_prereq_failed:unmapped_atoms
80,MARTS_EXT_RXN_54f511ec7632,True,0.0391874348806328,False,False,clipzyme_graph_prereq_failed:unmapped_atoms
81,MARTS_EXT_RXN_55f4259a8324,True,0.2277218864961732,True,True,encoded
82,MARTS_EXT_RXN_574cd0378c5f,True,0.3091204395106031,False,False,clipzyme_graph_prereq_failed:unmapped_atoms
83,MARTS_EXT_RXN_5834b8bc5c28,True,0.1863570749182928,False,False,clipzyme_graph_prereq_failed:unmapped_atoms
84,MARTS_EXT_RXN_5904725d5317,True,0.4040242224017481,False,False,clipzyme_graph_prereq_failed:unmapped_atoms
85,MARTS_EXT_RXN_5aa1e407cf39,True,0.3536466843223218,False,False,clipzyme_graph_prereq_failed:unmapped_atoms
86,MARTS_EXT_RXN_5c2828b66ca0,True,0.0786413546969503,False,False,clipzyme_graph_prereq_failed:unmapped_atoms
87,MARTS_EXT_RXN_5d4a8a447c7e,True,0.1875871434540723,False,False,clipzyme_graph_prereq_failed:unmapped_atoms
88,MARTS_EXT_RXN_5d8d9a77365d,True,0.626724232296655,False,False,clipzyme_graph_prereq_failed:unmapped_atoms
89,MARTS_EXT_RXN_5e756bc9af81,True,0.8403524168821681,False,False,clipzyme_graph_prereq_failed:unmapped_atoms
90,MARTS_EXT_RXN_5ebefc2c5944,True,0.6735247236612424,False,False,clipzyme_graph_prereq_failed:unmapped_atoms
91,MARTS_EXT_RXN_5f7500503126,True,0.1390938253332433,False,False,clipzyme_graph_prereq_failed:unmapped_atoms
92,MARTS_EXT_RXN_6029eb5c9a03,True,0.273215888083973,False,False,clipzyme_graph_prereq_failed:unmapped_atoms
93,MARTS_EXT_RXN_605fa04e8467,True,0.5289457050230942,False,False,clipzyme_graph_prereq_failed:unmapped_atoms
94,MARTS_EXT_RXN_6290a24f780c,True,0.154625602615585,False,False,clipzyme_graph_prereq_failed:unmapped_atoms
95,MARTS_EXT_RXN_6314ab7563ea,True,0.3807743801809258,True,True,encoded
96,MARTS_EXT_RXN_6385ac1fa7a9,True,0.3864867103932841,False,False,clipzyme_graph_prereq_failed:unmapped_atoms
