reaction_id,mapping_success,mapping_confidence,support_status
MARTS_EXT_RXN_012d56c064db,True,0.1443300404562258,clipzyme_graph_prereq_failed:unmapped_atoms
MARTS_EXT_RXN_0216267ce7f4,True,0.5508721168819467,clipzyme_graph_prereq_failed:unmapped_atoms
MARTS_EXT_RXN_029b92fe95de,True,0.3245704464623322,clipzyme_graph_prereq_failed:unmapped_atoms
MARTS_EXT_RXN_0304c0087056,True,0.0953194472009664,clipzyme_graph_prereq_failed:reactant_product_map_sets_differ
MARTS_EXT_RXN_033964ff02d8,True,0.0201503467252545,clipzyme_graph_prereq_failed:unmapped_atoms
MARTS_EXT_RXN_035143e0b4ac,True,0.7721146325553738,clipzyme_graph_prereq_failed:unmapped_atoms
MARTS_EXT_RXN_0396c90bff0f,True,0.4144296887758476,clipzyme_graph_prereq_failed:unmapped_atoms
MARTS_EXT_RXN_055064ae05a5,True,0.1203198743241469,clipzyme_graph_prereq_failed:unmapped_atoms
MARTS_EXT_RXN_0601074748a9,True,0.367846724288683,clipzyme_graph_prereq_failed:unmapped_atoms
MARTS_EXT_RXN_0718113ff706,True,0.5326343529039396,clipzyme_graph_prereq_failed:unmapped_atoms
MARTS_EXT_RXN_07865104318f,True,0.2388750687493131,clipzyme_graph_prereq_failed:unmapped_atoms
MARTS_EXT_RXN_08a2e34a37c3,True,0.2767226400761009,clipzyme_graph_prereq_failed:reactant_product_map_sets_differ
MARTS_EXT_RXN_0aa1aeb0f8d8,True,0.5118244248969898,clipzyme_graph_prereq_failed:unmapped_atoms
MARTS_EXT_RXN_0b0f5e083f77,True,0.5807517725877486,clipzyme_graph_prereq_failed:unmapped_atoms
MARTS_EXT_RXN_0bc621c08854,True,0.3460861707623907,clipzyme_graph_prereq_failed:unmapped_atoms
MARTS_EXT_RXN_0d75732112ff,True,0.7686681782873948,clipzyme_graph_prereq_failed:unmapped_atoms
MARTS_EXT_RXN_0e08d025745c,True,0.5932763843840285,clipzyme_graph_prereq_failed:unmapped_atoms
MARTS_EXT_RXN_0e80c1eb7cd8,True,0.3391207868492736,clipzyme_graph_prereq_failed:unmapped_atoms
MARTS_EXT_RXN_0fa82c3b7c55,True,0.1310490534690145,clipzyme_graph_prereq_failed:unmapped_atoms
MARTS_EXT_RXN_12ea76795241,True,0.5435474616335848,clipzyme_graph_prereq_failed:unmapped_atoms
MARTS_EXT_RXN_1428f098b24c,True,0.5303503247597587,clipzyme_graph_prereq_failed:unmapped_atoms
MARTS_EXT_RXN_16e609c93e52,True,0.1704750018954087,clipzyme_graph_prereq_failed:unmapped_atoms
MARTS_EXT_RXN_193d44981939,True,0.1104442621717255,clipzyme_graph_prereq_failed:unmapped_atoms
MARTS_EXT_RXN_1c2da1449873,True,0.7289928209561604,clipzyme_graph_prereq_failed:unmapped_atoms
MARTS_EXT_RXN_1d852b407f95,True,0.4498570045255251,clipzyme_graph_prereq_failed:unmapped_atoms
MARTS_EXT_RXN_1da1a2f90d9e,True,0.2187649804488883,clipzyme_graph_prereq_failed:unmapped_atoms
MARTS_EXT_RXN_2250a8a7fe50,True,0.5093002871382648,clipzyme_graph_prereq_failed:unmapped_atoms
MARTS_EXT_RXN_22bda90ee992,True,0.2239418819717606,clipzyme_graph_prereq_failed:unmapped_atoms
MARTS_EXT_RXN_23432a8b720a,True,0.4530535786616553,clipzyme_graph_prereq_failed:unmapped_atoms
MARTS_EXT_RXN_237f1c153ad6,True,0.3518883374538235,clipzyme_graph_prereq_failed:unmapped_atoms
MARTS_EXT_RXN_23b0ccdf5255,True,0.3111647915739518,clipzyme_graph_prereq_failed:unmapped_atoms
MARTS_EXT_RXN_247c337c8f65,True,0.0665578073837518,clipzyme_graph_prereq_failed:unmapped_atoms
MARTS_EXT_RXN_2554ee320331,True,0.0227221014785478,clipzyme_graph_prereq_failed:unmapped_atoms
MARTS_EXT_RXN_27964350d2e0,True,0.0151858627026684,clipzyme_graph_prereq_failed:unmapped_atoms
MARTS_EXT_RXN_29704a84d49c,True,0.2573808435354281,clipzyme_graph_prereq_failed:unmapped_atoms
MARTS_EXT_RXN_29bbf964d264,True,0.5317210099694791,clipzyme_graph_prereq_failed:unmapped_atoms
MARTS_EXT_RXN_2a8513f7b1f9,True,0.1969739993706902,clipzyme_graph_prereq_failed:unmapped_atoms
MARTS_EXT_RXN_2d4d4df1341b,True,0.0418071461631804,clipzyme_graph_prereq_failed:unmapped_atoms
MARTS_EXT_RXN_2d848cafa6c3,True,0.3580486553470678,clipzyme_graph_prereq_failed:unmapped_atoms
MARTS_EXT_RXN_2e27139e482a,True,0.1448830642596988,clipzyme_graph_prereq_failed:unmapped_atoms
MARTS_EXT_RXN_2e59d1c7b929,True,0.4997770062148576,clipzyme_graph_prereq_failed:unmapped_atoms
MARTS_EXT_RXN_2e5de5bb57ab,True,0.0821927416349494,clipzyme_graph_prereq_failed:unmapped_atoms
