split_id,query_id,budget,candidate_universe,candidate_count,n_positives,hit,positive_recall,best_positive_rank,reciprocal_rank,top1_is_uniprot,uniprot_above_best_positive
p0_r0,MARTS_RXN_4e8885af0277ca69,3,canonical,1421,1,0,0.0,872,0.0011467889908256881,False,0
p0_r0,MARTS_RXN_4e8885af0277ca69,3,expanded,7093,1,0,0.0,4785,0.0002089864158829676,False,3913
p0_r0,MARTS_RXN_68d7c7a6b97fc6da,3,canonical,1421,4,0,0.0,22,0.045454545454545456,False,0
p0_r0,MARTS_RXN_68d7c7a6b97fc6da,3,expanded,7093,4,0,0.0,46,0.021739130434782608,False,24
p0_r0,MARTS_RXN_7844025b037230bb,3,canonical,1421,1,0,0.0,132,0.007575757575757576,False,0
p0_r0,MARTS_RXN_7844025b037230bb,3,expanded,7093,1,0,0.0,956,0.0010460251046025104,True,824
p0_r0,MARTS_RXN_96ac57c793266e5e,3,canonical,1421,1,0,0.0,533,0.001876172607879925,False,0
p0_r0,MARTS_RXN_96ac57c793266e5e,3,expanded,7093,1,0,0.0,2401,0.00041649312786339027,False,1868
p0_r0,MARTS_RXN_a5374cc39ade96ae,3,canonical,1421,1,0,0.0,93,0.010752688172043012,False,0
p0_r0,MARTS_RXN_a5374cc39ade96ae,3,expanded,7093,1,0,0.0,755,0.0013245033112582781,True,662
p0_r0,MARTS_RXN_be324f8633fc718b,3,canonical,1421,1,0,0.0,19,0.05263157894736842,False,0
p0_r0,MARTS_RXN_be324f8633fc718b,3,expanded,7093,1,0,0.0,77,0.012987012987012988,False,58
p0_r0,MARTS_RXN_c2e48d0936622fb5,3,canonical,1421,1,0,0.0,500,0.002,False,0
p0_r0,MARTS_RXN_c2e48d0936622fb5,3,expanded,7093,1,0,0.0,2489,0.0004017677782241864,False,1989
p0_r0,MARTS_RXN_f5414ceb0f1f5ab4,3,canonical,1421,1,0,0.0,37,0.02702702702702703,False,0
p0_r0,MARTS_RXN_f5414ceb0f1f5ab4,3,expanded,7093,1,0,0.0,271,0.0036900369003690036,False,234
p0_r0,MARTS_RXN_4e8885af0277ca69,10,canonical,1421,1,0,0.0,872,0.0011467889908256881,False,0
p0_r0,MARTS_RXN_4e8885af0277ca69,10,expanded,7093,1,0,0.0,4785,0.0002089864158829676,False,3913
p0_r0,MARTS_RXN_68d7c7a6b97fc6da,10,canonical,1421,4,0,0.0,22,0.045454545454545456,False,0
p0_r0,MARTS_RXN_68d7c7a6b97fc6da,10,expanded,7093,4,0,0.0,46,0.021739130434782608,False,24
