candidate_universe,budget,n_queries,hit_probability,positive_recall,mean_reciprocal_rank,median_best_positive_rank,mean_uniprot_above_best_positive,median_uniprot_above_best_positive,uniprot_top1_fraction
canonical,3,237,0.046413502109704644,0.04139039582077557,0.047065092149831414,158.0,0.0,0.0,0.0
canonical,10,237,0.12658227848101267,0.1130600763512156,0.047065092149831414,158.0,0.0,0.0,0.0
canonical,20,237,0.18143459915611815,0.1623367490456098,0.04638905614995858,149.0,0.0,0.0,0.0
expanded,3,237,0.02531645569620253,0.018886879646373318,0.02661124570669429,761.0,1355.8523206751054,590.0,0.35443037974683544
expanded,10,237,0.06329113924050633,0.05877034358047016,0.02661124570669429,761.0,1355.8523206751054,590.0,0.35443037974683544
expanded,20,237,0.10548523206751055,0.09885473176612417,0.024938358574953783,815.0,1374.2194092827003,648.0,0.37130801687763715
