epoch,hard_negatives,random_negatives,loss,r2e_contrastive,e2r_contrastive,r2e_topk,e2r_topk
1,80,8,6.899923610687256,5.584217476844787,6.44523921807607,1.2887638648351034,1.7748459974924724
2,80,8,5.107978773117066,3.945069448153178,5.41006973584493,1.123989141980807,1.6049944043159485
3,80,8,4.221405780315399,3.245239512125651,4.795297773679097,0.934492239356041,1.468131422996521
4,80,8,3.7007847388585406,2.862573981285095,4.386518291632334,0.7977556606133779,1.2965627918640772
5,80,8,3.3708433389663695,2.6186590949694315,4.055960663159689,0.7138906131188075,1.1912659774223964
6,80,8,2.9038995504379272,2.2818070888519286,3.6644642909367877,0.5863994022210439,0.9883918434381485
7,80,8,2.6188843131065367,2.072027951478958,3.44894491036733,0.5110642855366071,0.9237475275993348
8,80,8,2.511949388186137,1.987940675020218,3.3205467025438944,0.4897808268666267,0.8685677280028661
