reaction_id,reaction_smiles,product_smiles,precursor_class,product_skeleton_class,n_positive_pairs,n_positive_enzymes,reaction_cluster,fold
RHEA:65304,CC1Cc2c3c(cc(O)c2C(=O)O1)OC1(C)CCC2C(C)(C)C(=O)C=CC2(C)C1C3.O=C([O-])CCC(=O)C(=O)[O-].O=O>>CC1OC(=O)c2c(O)cc3c(c2C1O)CC1C(C)(CCC2C(C)(C)C(=O)C=CC12C)O3.O=C([O-])CCC(=O)[O-].O=C=O,CC1OC(=O)c2c(O)cc3c(c2C1O)CC1C(C)(CCC2C(C)(C)C(=O)C=CC12C)O3,C25_GFPP_like,C25_polycyclic_highly_oxygenated,1,1,C25_GFPP_like::RHEA:65260,0
RHEA:65316,CC1Cc2c3c(cc(O)c2C(=O)O1)OC1(C)C(O)CC2C(C)(C)C(=O)CCC2(C)C1C3.O=C([O-])CCC(=O)C(=O)[O-].O=O>>CC1Cc2c3c(cc(O)c2C(=O)O1)OC1(C)C(O)CC2C(C)(C)C(=O)C=CC2(C)C1C3.O.O=C([O-])CCC(=O)[O-].O=C=O,CC1Cc2c3c(cc(O)c2C(=O)O1)OC1(C)C(O)CC2C(C)(C)C(=O)C=CC2(C)C1C3,C25_GFPP_like,C25_polycyclic_highly_oxygenated,1,1,C25_GFPP_like::RHEA:65260,0
RHEA:65320,CC1Cc2c3c(cc(O)c2C(=O)O1)OC1(C)C(O)CC2C(C)(C)C(=O)C=CC2(C)C1C3.O=C([O-])CCC(=O)C(=O)[O-].O=O>>CC1OC(=O)c2c(O)cc3c(c2C1O)CC1C2(C)C=CC(=O)C(C)(C)C2CC(O)C1(C)O3.O=C([O-])CCC(=O)[O-].O=C=O,CC1OC(=O)c2c(O)cc3c(c2C1O)CC1C2(C)C=CC(=O)C(C)(C)C2CC(O)C1(C)O3,C25_GFPP_like,C25_polycyclic_highly_oxygenated,1,1,C25_GFPP_like::RHEA:65260,0
RHEA:65324,CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)([O-])[O-].CC1OC(=O)c2c(O)cc3c(c2C1O)CC1C2(C)C=CC(=O)C(C)(C)C2CC(O)C1(C)O3>>CC(=O)OC1c2c3c(cc(O)c2C(=O)OC1C)OC1(C)C(O)CC2C(C)(C)C(=O)C=CC2(C)C1C3.CC(C)(COP(=O)([O-])OP(=O)([O-])OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)([O-])[O-])C(O)C(=O)NCCC(=O)NCCS,CC(=O)OC1c2c3c(cc(O)c2C(=O)OC1C)OC1(C)C(O)CC2C(C)(C)C(=O)C=CC2(C)C1C3,C25_GFPP_like,C25_polycyclic_highly_oxygenated,1,1,C25_GFPP_like::RHEA:65260,0
RHEA:65328,*.CC1Cc2c3c(cc(O)c2C(=O)O1)OC1(C)C(O)CC2C(C)(C)C(O)CCC2(C)C1C3>>CC1Cc2c3c(cc(O)c2C(=O)O1)OC1(C)C(O)CC2C(C)(C)C(=O)CCC2(C)C1C3.[H]*[H],CC1Cc2c3c(cc(O)c2C(=O)O1)OC1(C)C(O)CC2C(C)(C)C(=O)CCC2(C)C1C3,C25_GFPP_like,C25_polycyclic_highly_oxygenated,1,1,C25_GFPP_like::RHEA:65260,0
RHEA:65332,CC1Cc2c3c(cc(O)c2C(=O)O1)OC1(C)C(O)CC2C(C)(C)C(=O)C=CC2(C)C1C3.CC1Cc2c3c(cc(O)c2C(=O)O1)OC1(C)CCC2C(C)(C)C(=O)C=CC2(C)C1C3.NC(=O)C1=CN(C2OC(COP(=O)([O-])OP(=O)([O-])OCC3OC(n4cnc5c(N)ncnc54)C(OP(=O)([O-])[O-])C3O)C(O)C2O)C=CC1.O=O.[H+]>>NC(=O)c1ccc[n+](C2OC(COP(=O)([O-])OP(=O)([O-])OCC3OC(n4cnc5c(N)ncnc54)C(OP(=O)([O-])[O-])C3O)C(O)C2O)c1.O,NC(=O)c1ccc[n+](C2OC(COP(=O)([O-])OP(=O)([O-])OCC3OC(n4cnc5c(N)ncnc54)C(OP(=O)([O-])[O-])C3O)C(O)C2O)c1,C20_GGPP_like,C20_polycyclic_highly_oxygenated,1,1,C20_GGPP_like::RHEA:25641,0
RHEA:65336,CC1OC(=O)c2c(O)cc3c(c2C1O)CC1C(C)(CCC2C(C)(C)C(=O)C=CC12C)O3.CC1OC(=O)c2c(O)cc3c(c2C1O)CC1C2(C)C=CC(=O)C(C)(C)C2CC(O)C1(C)O3.NC(=O)C1=CN(C2OC(COP(=O)([O-])OP(=O)([O-])OCC3OC(n4cnc5c(N)ncnc54)C(OP(=O)([O-])[O-])C3O)C(O)C2O)C=CC1.O=O.[H+]>>NC(=O)c1ccc[n+](C2OC(COP(=O)([O-])OP(=O)([O-])OCC3OC(n4cnc5c(N)ncnc54)C(OP(=O)([O-])[O-])C3O)C(O)C2O)c1.O,NC(=O)c1ccc[n+](C2OC(COP(=O)([O-])OP(=O)([O-])OCC3OC(n4cnc5c(N)ncnc54)C(OP(=O)([O-])[O-])C3O)C(O)C2O)c1,C20_GGPP_like,C20_polycyclic_highly_oxygenated,1,1,C20_GGPP_like::RHEA:25641,0
RHEA:65828,CC(C)=CCCC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-].O>>CC(C)=CCCC(C)=CCO.O=P([O-])([O-])OP(=O)([O-])O,CC(C)=CCCC(C)=CCO,C10_GPP_like,C10_acyclic_oxygenated,1,1,C10_GPP_like::RHEA:32679,4
RHEA:66636,CC(C)=CCCC(C)=CCCC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-].O>>CC1=CCC2(CC1)C(C)CCC2C(C)(C)O.O=P([O-])([O-])OP(=O)([O-])O,CC1=CCC2(CC1)C(C)CCC2C(C)(C)O,C15_FPP_like,C15_bicyclic_oxygenated,1,1,C15_FPP_like::RHEA:66636,1
RHEA:66640,CC(C)=CCCC(C)=CCCC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-].O>>CC1(C)CC2C1CCC(C)(O)C1CCC21C.O=P([O-])([O-])OP(=O)([O-])O,CC1(C)CC2C1CCC(C)(O)C1CCC21C,C15_FPP_like,C15_polycyclic_oxygenated,1,1,C15_FPP_like::RHEA:66640,4
RHEA:66644,CC(C)=CCCC(C)=CCCC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-].O>>CC(CO)=C1CC(C)(C)CC2C(C)CCC12.O=P([O-])([O-])OP(=O)([O-])O,CC(CO)=C1CC(C)(C)CC2C(C)CCC12,C15_FPP_like,C15_bicyclic_oxygenated,2,2,C15_FPP_like::RHEA:66644,2
RHEA:66648,CC(C)=CCCC(C)=CCCC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-]>>CC1(O)CC2(CO1)OCC(O)C2O.O=P([O-])([O-])OP(=O)([O-])O,CC1(O)CC2(CO1)OCC(O)C2O,C15_FPP_like,C10_bicyclic_highly_oxygenated,1,1,C15_FPP_like::RHEA:66648,0
RHEA:66652,CC(C)=CCCC(C)=CCCC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-]>>CC1CCC2C1=CC(C)(C)CC1CC12C.O=P([O-])([O-])OP(=O)([O-])O,CC1CCC2C1=CC(C)(C)CC1CC12C,C15_FPP_like,C15_polycyclic_hydrocarbon,1,1,C15_FPP_like::RHEA:66652,1
RHEA:66712,[H][C@@]12CC/C(C)=C/CC/C(C)=C/C[C@@]1(C)CC[C@]1([H])[C@@H](C(=C)C)CC[C@@]21C.Cc1cc2c(cc1C)N(C[C@H](O)[C@H](O)[C@H](O)COP(=O)([O-])[O-])c1nc(=O)nc(=O)c1N2.O=O>>[H][C@@]12CC/C(C)=C/CC/C(C(=O)[O-])=C/C[C@@]1(C)CC[C@]1([H])[C@@H](C(=C)C)CC[C@@]21C.Cc1cc2nc3c(=O)[n-]c(=O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)COP(=O)([O-])[O-])c2cc1C.[H]O[H].[H+],[H][C@@]12CC/C(C)=C/CC/C(C(=O)[O-])=C/C[C@@]1(C)CC[C@]1([H])[C@@H](C(=C)C)CC[C@@]21C,C25_GFPP_like,C25_polycyclic_oxygenated,1,1,C25_GFPP_like::RHEA:54076,4
RHEA:66832,CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-]>>CC1=C2CC3(C)CCC4(C)CCC(C(C)C)C4C3C3CC3(C)C2CC1.O=P([O-])([O-])OP(=O)([O-])O,CC1=C2CC3(C)CCC4(C)CCC(C(C)C)C4C3C3CC3(C)C2CC1,C25_GFPP_like,C25_polycyclic_hydrocarbon,2,2,C25_GFPP_like::RHEA:66832,3
RHEA:66836,[H][C@]12C[C@@]1(C)[C@]1([H])CCC(C)=C1C[C@@]1(C)CC[C@]3(C)CC[C@H](C(C)C)[C@@]3([H])[C@@]12[H].Cc1cc2c(cc1C)N(C[C@H](O)[C@H](O)[C@H](O)COP(=O)([O-])[O-])c1nc(=O)nc(=O)c1N2.O=O>>[H][C@]12C[C@@]1(C)[C@]1([H])CCC(C(=O)[O-])=C1C[C@@]1(CO)CC[C@]3(C)CC[C@H](C(C)C)[C@@]3([H])[C@@]12[H].Cc1cc2nc3c(=O)[n-]c(=O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)COP(=O)([O-])[O-])c2cc1C.[H]O[H].[H+],[H][C@]12C[C@@]1(C)[C@]1([H])CCC(C(=O)[O-])=C1C[C@@]1(CO)CC[C@]3(C)CC[C@H](C(C)C)[C@@]3([H])[C@@]12[H],C25_GFPP_like,C25_polycyclic_highly_oxygenated,1,1,C25_GFPP_like::RHEA:66832,3
RHEA:66840,[H][C@]12C[C@@]1(C)[C@]1([H])CCC(C(=O)[O-])=C1C[C@@]1(CO)CC[C@]3(C)CC[C@H](C(C)C)[C@@]3([H])[C@@]12[H].Cc1cc2c(cc1C)N(C[C@H](O)[C@H](O)[C@H](O)COP(=O)([O-])[O-])c1nc(=O)nc(=O)c1N2.O=O>>[H][C@]12C[C@@]1(C)[C@]1([H])CCC(C(=O)[O-])=C1C[C@@]1(C(=O)[O-])CC[C@]3(C)CC[C@H](C(C)C)[C@@]3([H])[C@@]12[H].Cc1cc2nc3c(=O)[n-]c(=O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)COP(=O)([O-])[O-])c2cc1C.[H]O[H].[H+],[H][C@]12C[C@@]1(C)[C@]1([H])CCC(C(=O)[O-])=C1C[C@@]1(C(=O)[O-])CC[C@]3(C)CC[C@H](C(C)C)[C@@]3([H])[C@@]12[H],C25_GFPP_like,C25_polycyclic_highly_oxygenated,1,1,C25_GFPP_like::RHEA:66832,3
RHEA:66844,[H][C@]12C[C@@]1(C)[C@]1([H])CCC(C(=O)[O-])=C1C[C@@]1(CO)CC[C@]3(C)CC[C@H](C(C)C)[C@@]3([H])[C@@]12[H].Cc1cc2c(cc1C)N(C[C@H](O)[C@H](O)[C@H](O)COP(=O)([O-])[O-])c1nc(=O)nc(=O)c1N2.O=O>>[H][C@]12C[C@@]1(C)[C@]1([H])CCC(C(=O)[O-])=C1C[C@@]1(CO)CC[C@]3(C)[C@H](O)C[C@H](C(C)C)[C@@]3([H])[C@@]12[H].Cc1cc2nc3c(=O)[n-]c(=O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)COP(=O)([O-])[O-])c2cc1C.[H]O[H].[H+],[H][C@]12C[C@@]1(C)[C@]1([H])CCC(C(=O)[O-])=C1C[C@@]1(CO)CC[C@]3(C)[C@H](O)C[C@H](C(C)C)[C@@]3([H])[C@@]12[H],C25_GFPP_like,C25_polycyclic_highly_oxygenated,1,1,C25_GFPP_like::RHEA:66832,3
RHEA:66860,C=C(C)CCOP(=O)([O-])OP(=O)([O-])[O-].CC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-]>>CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-].O=P([O-])([O-])OP(=O)([O-])O,CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-],C5_IPP_DMAPP_like,C25_acyclic_highly_oxygenated,5,5,C5_IPP_DMAPP_like::RHEA:11328,2
RHEA:66864,CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-]>>CC1=C2CC3(C)CCC(C(C)C)C3CC2C23CCC(C)C2CCC13C.O=P([O-])([O-])OP(=O)([O-])O,CC1=C2CC3(C)CCC(C(C)C)C3CC2C23CCC(C)C2CCC13C,C25_GFPP_like,C25_polycyclic_hydrocarbon,1,1,C25_GFPP_like::RHEA:66864,0
RHEA:66868,[H][C@]12C[C@]3([H])[C@H](C(C)C)CC[C@@]3(C)CC1=C(C)[C@]1(C)CC[C@@]3([H])[C@H](C)CC[C@@]213.Cc1cc2c(cc1C)N(C[C@H](O)[C@H](O)[C@H](O)COP(=O)([O-])[O-])c1nc(=O)nc(=O)c1N2.O=O>>[H][C@]12C[C@]3([H])[C@H](C(C)C)CC[C@@]3(C(=O)[O-])CC1=C(C)[C@]1(C)CC[C@@]3([H])[C@H](C)CC[C@@]213.Cc1cc2nc3c(=O)[n-]c(=O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)COP(=O)([O-])[O-])c2cc1C.[H]O[H].[H+],[H][C@]12C[C@]3([H])[C@H](C(C)C)CC[C@@]3(C(=O)[O-])CC1=C(C)[C@]1(C)CC[C@@]3([H])[C@H](C)CC[C@@]213,C25_GFPP_like,C25_polycyclic_oxygenated,1,1,C25_GFPP_like::RHEA:66864,0
RHEA:66896,[H][C@]12C[C@@]3(C)CC[C@]([H])([C@@H](C)CCC=C(C)C)[C@]3([H])C/C=C(/C)[C@@]1([H])CC[C@@]2(C)O.Cc1cc2c(cc1C)N(C[C@H](O)[C@H](O)[C@H](O)COP(=O)([O-])[O-])c1nc(=O)nc(=O)c1N2.O=O>>[H]C(=O)/C1=C/C[C@]2([H])[C@](C)(CC[C@]2([H])[C@@H](C)CCC=C(C)C)C[C@]2([H])[C@](C)(O)CC(=O)[C@]12[H].Cc1cc2nc3c(=O)[n-]c(=O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)COP(=O)([O-])[O-])c2cc1C.[H]O[H].[H+],[H]C(=O)/C1=C/C[C@]2([H])[C@](C)(CC[C@]2([H])[C@@H](C)CCC=C(C)C)C[C@]2([H])[C@](C)(O)CC(=O)[C@]12[H],C25_GFPP_like,C25_polycyclic_highly_oxygenated,2,2,C25_GFPP_like::RHEA:41552,0
RHEA:67036,CC(C)=CCCC(C)=CCCC(C)=CCC1(C)C(=O)C(C)=C([O-])C(C(=O)[O-])=C1C.O=C([O-])CCC(=O)C(=O)[O-].O=O>>CC(=CCC1(C)C(=O)C(C)=C([O-])C(C(=O)[O-])=C1C)CCC=C(C)CCC1OC1(C)C.O=C([O-])CCC(=O)[O-].O=C=O,CC(=CCC1(C)C(=O)C(C)=C([O-])C(C(=O)[O-])=C1C)CCC=C(C)CCC1OC1(C)C,C25_GFPP_like,C25_bicyclic_highly_oxygenated,1,1,C25_GFPP_like::RHEA:67036,2
RHEA:67040,,,unknown,unknown,1,1,unknown::RHEA:67040,3
RHEA:67044,*.CC1=C2OC3(CC2(C)C(C)=C(C(=O)[O-])C1=O)C(C)CCC1C(C)(C)C(O)CCC13C>>CC1=C2OC3(CC2(C)C(C)=C(C(=O)[O-])C1=O)C(C)CCC1C(C)(C)C(=O)CCC13C.[H]*[H],CC1=C2OC3(CC2(C)C(C)=C(C(=O)[O-])C1=O)C(C)CCC1C(C)(C)C(=O)CCC13C,C25_GFPP_like,C25_polycyclic_highly_oxygenated,1,1,C25_GFPP_like::RHEA:67044,4
RHEA:67048,CC1=C2OC3(CC2(C)C(C)=C(C(=O)[O-])C1=O)C(C)CCC1C(C)(C)C(=O)CCC13C.O=O.[H]*[H]>>*.CC1=C2OC3(CC2(C)C(C)=C(C(=O)[O-])C1=O)C(C)CCC1C(C)(C)OC(=O)CCC13C.O,CC1=C2OC3(CC2(C)C(C)=C(C(=O)[O-])C1=O)C(C)CCC1C(C)(C)OC(=O)CCC13C,C25_GFPP_like,C25_polycyclic_highly_oxygenated,1,1,C25_GFPP_like::RHEA:67044,4
RHEA:67052,COC(=O)NC(C(=O)OC)C(Cc1c(C)nc2n(C)c3ncnc3c(=O)n12)OO.[H]*[H].O=O>>[H][C@@]12CC[C@H](C)[C@@]3(C[C@@]4(C)C(=C(C)C(=O)[C@@H](C(=O)OC)[C@@H]4C)O3)[C@@]1(C)CCC(=O)OC2(C)C.*.[H]O[H],[H][C@@]12CC[C@H](C)[C@@]3(C[C@@]4(C)C(=C(C)C(=O)[C@@H](C(=O)OC)[C@@H]4C)O3)[C@@]1(C)CCC(=O)OC2(C)C,unknown,C25_polycyclic_highly_oxygenated,1,1,unknown::RHEA:67052,4
RHEA:67056,[H][C@@]12CC[C@H](C)[C@@]3(C[C@]4(C)C(C)=C(C(=O)[O-])C(=O)C(C)=C4O3)[C@@]1(C)CCC(=O)C2(C)C.Nc1nc(=O)c2ncn([C@@H]3O[C@H](CO)[C@H]4OP(=O)(O)O[C@H]43)c2n1>>[H][C@@]12CC[C@H](C)[C@@]3(C[C@]4(C)C(C)=C(C(=O)OC)C(=O)C(C)=C4O3)[C@@]1(C)CCC(=O)C2(C)C.Nc1ncnc2c1ncn2[C@@H]1O[C@H](CSCC[C@H]([NH3+])C(=O)[O-])[C@@H](O)[C@H]1O,[H][C@@]12CC[C@H](C)[C@@]3(C[C@]4(C)C(C)=C(C(=O)OC)C(=O)C(C)=C4O3)[C@@]1(C)CCC(=O)C2(C)C,C25_GFPP_like,C25_polycyclic_highly_oxygenated,1,1,C25_GFPP_like::RHEA:67044,4
RHEA:67060,[H][C@@]12CC[C@H](C)[C@@]3(C[C@]4(C)C(C)=C(C(=O)[O-])C(=O)C(C)=C4O3)[C@@]1(C)CCC(=O)OC2(C)C.Nc1nc(=O)c2ncn([C@@H]3O[C@H](CO)[C@H]4OP(=O)(O)O[C@H]43)c2n1>>[H][C@@]12CC[C@H](C)[C@@]3(C[C@]4(C)C(C)=C(C(=O)OC)C(=O)C(C)=C4O3)[C@@]1(C)CCC(=O)OC2(C)C.Nc1ncnc2c1ncn2[C@@H]1O[C@H](CSCC[C@H]([NH3+])C(=O)[O-])[C@@H](O)[C@H]1O,[H][C@@]12CC[C@H](C)[C@@]3(C[C@]4(C)C(C)=C(C(=O)OC)C(=O)C(C)=C4O3)[C@@]1(C)CCC(=O)OC2(C)C,C25_GFPP_like,C25_polycyclic_highly_oxygenated,1,1,C25_GFPP_like::RHEA:67044,4
RHEA:67064,COC(=O)C1=C(C)C2(C)CC3(OC2=C(C)C1=O)C(C)CCC1C(C)(C)OC(=O)CCC13C.[H]*[H]>>*.COC(=O)C1C(=O)C(C)=C2OC3(CC2(C)C1C)C(C)CCC1C(C)(C)OC(=O)CCC13C,COC(=O)C1C(=O)C(C)=C2OC3(CC2(C)C1C)C(C)CCC1C(C)(C)OC(=O)CCC13C,C25_GFPP_like,C25_polycyclic_highly_oxygenated,1,1,C25_GFPP_like::RHEA:67044,4
RHEA:67068,[H][C@@]12CC[C@H](C)[C@@]3(C[C@]4(C)C(C)=C(C(=O)OC)C(=O)C(C)=C4O3)[C@@]1(C)CCC(=O)C2(C)C.[H]*[H]>>COC(=O)NC(C(=O)OC)C(Cc1c(C)nc2n(C)c3ncnc3c(=O)n12)OO.*,,C25_GFPP_like,unknown,1,1,C25_GFPP_like::RHEA:67068,3
RHEA:67096,COC(=O)C1C(=O)C(C)=C2OC3(CC2(C)C1C)C(C)CCC1C(C)(C)OC(=O)CCC13C.O=C([O-])CCC(=O)C(=O)[O-].O=O>>COC(=O)C1C(=O)C(C)(O)C23OOCC45CCC(=O)OC(C)(C)C4CCC(C)C5(CC2(C)C1C)O3.O=C([O-])CCC(=O)[O-].O=C=O,COC(=O)C1C(=O)C(C)(O)C23OOCC45CCC(=O)OC(C)(C)C4CCC(C)C5(CC2(C)C1C)O3,C25_GFPP_like,C25_polycyclic_highly_oxygenated,1,1,C25_GFPP_like::RHEA:67096,4
RHEA:67100,CC1C2C(=O)OC(C)(C2O)C23OOCC45CCC(=O)OC(C)(C)C4CCC(C)C5(CC12C)O3>>CC1C2C(=O)OC(C)(OC34OCC56CCC(=O)OC(C)(C)C5CCC(C)C6(CC13C)O4)C2O,CC1C2C(=O)OC(C)(OC34OCC56CCC(=O)OC(C)(C)C5CCC(C)C6(CC13C)O4)C2O,C25_GFPP_like,C25_polycyclic_highly_oxygenated,1,1,C25_GFPP_like::RHEA:67100,0
RHEA:67104,CC1C2C(=O)OC(C)(OC34OCC56CCC(=O)OC(C)(C)C5CCC(C)C6(CC13C)O4)C2O.O=C([O-])CCC(=O)C(=O)[O-].O=O>>CC1C2C(=O)OC3(C)OC4(OC23)OC2(CC14C)C(C)CCC1C(C)(C)OC(=O)C=CC12CO.O.O=C([O-])CCC(=O)[O-].O=C=O,CC1C2C(=O)OC3(C)OC4(OC23)OC2(CC14C)C(C)CCC1C(C)(C)OC(=O)C=CC12CO,C25_GFPP_like,C25_polycyclic_highly_oxygenated,1,1,C25_GFPP_like::RHEA:67104,1
RHEA:67400,CC(C)=CCCC(C)=CCCC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-]>>C=C1CCC2C(C3C(C)CCC13)C2(C)C.O=P([O-])([O-])OP(=O)([O-])O,C=C1CCC2C(C3C(C)CCC13)C2(C)C,C15_FPP_like,C15_polycyclic_hydrocarbon,2,2,C15_FPP_like::RHEA:67400,3
RHEA:67404,CC1=CCC(C(C)C)=CC1.Cc1cc2c(cc1C)N(C[C@H](O)[C@H](O)[C@H](O)COP(=O)([O-])[O-])c1nc(=O)nc(=O)c1N2.O=O>>Cc1ccc(C(C)C)cc1O.Cc1cc2nc3c(=O)[n-]c(=O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)COP(=O)([O-])[O-])c2cc1C.[H]O[H].[H+],Cc1cc2nc3c(=O)[n-]c(=O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)COP(=O)([O-])[O-])c2cc1C,C10_GPP_like,C15_polycyclic_highly_oxygenated,6,6,C10_GPP_like::RHEA:17945,3
RHEA:67408,CC1=CCC(C(C)C)=CC1.Cc1cc2c(cc1C)N(C[C@H](O)[C@H](O)[C@H](O)COP(=O)([O-])[O-])c1nc(=O)nc(=O)c1N2.O=O>>Cc1ccc(C(C)C)c(O)c1.Cc1cc2nc3c(=O)[n-]c(=O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)COP(=O)([O-])[O-])c2cc1C.[H]O[H].[H+],Cc1cc2nc3c(=O)[n-]c(=O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)COP(=O)([O-])[O-])c2cc1C,C10_GPP_like,C15_polycyclic_highly_oxygenated,1,1,C10_GPP_like::RHEA:17945,3
RHEA:67412,O=C(O)CCCCCCCC(O)C(O)CCCCCCO.Cc1cc2c(cc1C)N(C[C@H](O)[C@H](O)[C@H](O)COP(=O)([O-])[O-])c1nc(=O)nc(=O)c1N2.O=O>>Cc1ccc(C(C)C)cc1O.Cc1cc2nc3c(=O)[n-]c(=O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)COP(=O)([O-])[O-])c2cc1C.[H]O[H].[H+],Cc1cc2nc3c(=O)[n-]c(=O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)COP(=O)([O-])[O-])c2cc1C,C15_FPP_like,C15_polycyclic_highly_oxygenated,2,2,C15_FPP_like::RHEA:16337,0
RHEA:67416,[H][C@]1(C(=C)C)CC=C(C)CC1.Cc1cc2c(cc1C)N(C[C@H](O)[C@H](O)[C@H](O)COP(=O)([O-])[O-])c1nc(=O)nc(=O)c1N2.O=O>>C=C(C)[C@@H]1CCC(C)=C[C@H]1O.Cc1cc2nc3c(=O)[n-]c(=O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)COP(=O)([O-])[O-])c2cc1C.[H]O[H].[H+],Cc1cc2nc3c(=O)[n-]c(=O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)COP(=O)([O-])[O-])c2cc1C,C10_GPP_like,C15_polycyclic_highly_oxygenated,1,1,C10_GPP_like::RHEA:17945,3
RHEA:67476,CC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-].[NH3+]C(CCC(=O)[O-])C(=O)[O-]>>CC(C)=CC[NH2+]C(CCC(=O)[O-])C(=O)[O-].O=P([O-])([O-])OP(=O)([O-])O,CC(C)=CC[NH2+]C(CCC(=O)[O-])C(=O)[O-],C5_IPP_DMAPP_like,C10_acyclic_highly_oxygenated,1,1,C5_IPP_DMAPP_like::RHEA:67476,0
RHEA:68156,CC(C)=CCCC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-].[NH3+]C(CCC(=O)[O-])C(=O)[O-]>>CC(C)=CCCC(C)=CC[NH2+]C(CCC(=O)[O-])C(=O)[O-].O=P([O-])([O-])OP(=O)([O-])O,CC(C)=CCCC(C)=CC[NH2+]C(CCC(=O)[O-])C(=O)[O-],C10_GPP_like,C15_acyclic_highly_oxygenated,1,1,C10_GPP_like::RHEA:68156,1
RHEA:68160,CC(C)=CCC/C(C)=C/C[NH2+][C@@H](CCC(=O)[O-])C(=O)[O-].Cc1cc2c(cc1C)N(C[C@H](O)[C@H](O)[C@H](O)COP(=O)([O-])[O-])c1nc(=O)nc(=O)c1N2.O=O>>C/C(=CCC/C(C)=C/C[NH2+][C@@H](CCC(=O)[O-])C(=O)[O-])CO.Cc1cc2nc3c(=O)[n-]c(=O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)COP(=O)([O-])[O-])c2cc1C.[H]O[H].[H+],Cc1cc2nc3c(=O)[n-]c(=O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)COP(=O)([O-])[O-])c2cc1C,C15_FPP_like,C15_polycyclic_highly_oxygenated,1,1,C15_FPP_like::RHEA:16337,0
RHEA:68164,C/C(=CCC/C(C)=C/C[NH2+][C@@H](CCC(=O)[O-])C(=O)[O-])CO.Cc1cc2c(cc1C)N(C[C@H](O)[C@H](O)[C@H](O)COP(=O)([O-])[O-])c1nc(=O)nc(=O)c1N2.O=O>>C/C(C=O)=CCC/C(C)=C/C[NH2+][C@@H](CCC(=O)[O-])C(=O)[O-].Cc1cc2nc3c(=O)[n-]c(=O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)COP(=O)([O-])[O-])c2cc1C.[H]O[H].[H+],Cc1cc2nc3c(=O)[n-]c(=O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)COP(=O)([O-])[O-])c2cc1C,C15_FPP_like,C15_polycyclic_highly_oxygenated,1,1,C15_FPP_like::RHEA:16337,0
RHEA:68168,C/C(C=O)=CCC/C(C)=C/C[NH2+][C@@H](CCC(=O)[O-])C(=O)[O-].Cc1cc2c(cc1C)N(C[C@H](O)[C@H](O)[C@H](O)COP(=O)([O-])[O-])c1nc(=O)nc(=O)c1N2.O=O>>C/C(=CC[NH2+][C@@H](CCC(=O)[O-])C(=O)[O-])CC/C=C(C)C(=O)[O-].Cc1cc2nc3c(=O)[n-]c(=O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)COP(=O)([O-])[O-])c2cc1C.[H]O[H].[H+],Cc1cc2nc3c(=O)[n-]c(=O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)COP(=O)([O-])[O-])c2cc1C,C15_FPP_like,C15_polycyclic_highly_oxygenated,1,1,C15_FPP_like::RHEA:16337,0
