reaction_id,reaction_smiles,product_smiles,precursor_class,product_skeleton_class,n_positive_pairs,n_positive_enzymes,reaction_cluster,fold
RHEA:64344,CC(=CCc1c([O-])cc(-c2cccnc2)oc1=O)CCC=C(C)CCC1OC1(C)C.CC(C)=CCCC(C)=CCCC(C)=CCc1c([O-])cc(-c2cccnc2)oc1=O.NC(=O)C1=CN(C2OC(COP(=O)([O-])OP(=O)([O-])OCC3OC(n4cnc5c(N)ncnc54)C(OP(=O)([O-])[O-])C3O)C(O)C2O)C=CC1.O=O.[H+]>>NC(=O)c1ccc[n+](C2OC(COP(=O)([O-])OP(=O)([O-])OCC3OC(n4cnc5c(N)ncnc54)C(OP(=O)([O-])[O-])C3O)C(O)C2O)c1.O,NC(=O)c1ccc[n+](C2OC(COP(=O)([O-])OP(=O)([O-])OCC3OC(n4cnc5c(N)ncnc54)C(OP(=O)([O-])[O-])C3O)C(O)C2O)c1,C20_GGPP_like,C20_polycyclic_highly_oxygenated,1,1,C20_GGPP_like::RHEA:25641,0
RHEA:64348,,,unknown,unknown,1,1,unknown::RHEA:64348,2
RHEA:64572,C=C(C)CCOP(=O)([O-])OP(=O)([O-])[O-].CC(C)=CCCC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-]>>CC(C)=CCCC(C)=CCCC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-].O=P([O-])([O-])OP(=O)([O-])O,CC(C)=CCCC(C)=CCCC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-],C10_GPP_like,C15_acyclic_highly_oxygenated,1,1,C10_GPP_like::RHEA:19361,4
RHEA:64580,C=C(C)CCOP(=O)([O-])OP(=O)([O-])[O-].CC(C)=CCCC(C)=CCCC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-]>>CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-].O=P([O-])([O-])OP(=O)([O-])O,CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-],C15_FPP_like,C20_acyclic_highly_oxygenated,1,1,C15_FPP_like::RHEA:17653,3
RHEA:64856,CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-]>>COc1cc2c3c(c1O)-c1c(ccc(OC)c1OC)CC3NCC2.O=P([O-])([O-])OP(=O)([O-])O,COc1cc2c3c(c1O)-c1c(ccc(OC)c1OC)CC3NCC2,C20_GGPP_like,C20_polycyclic_highly_oxygenated,1,1,C20_GGPP_like::RHEA:64856,0
RHEA:65072,CC(C)=CCCC(C)=CCCC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-]>>CC1=CCC2C(=C(C)C)CCC2(C)CC1.O=P([O-])([O-])OP(=O)([O-])O,CC1=CCC2C(=C(C)C)CCC2(C)CC1,C15_FPP_like,C15_bicyclic_hydrocarbon,1,1,C15_FPP_like::RHEA:65072,1
RHEA:65112,CCC1=CC(=O)C2(C)C(O)CC(C)=CCC12.O=C([O-])CCC(=O)C(=O)[O-].O=O>>CCC1=CC(=O)C2(C)C1=CC=C(C)CC2O.O.O=C([O-])CCC(=O)[O-].O=C=O,CCC1=CC(=O)C2(C)C1=CC=C(C)CC2O,C15_FPP_like,C15_bicyclic_oxygenated,1,1,C15_FPP_like::RHEA:65112,2
RHEA:65116,CCC1=CC(=O)C2(C)C(OC(=O)C3CCC[NH2+]3)CC(C)=CCC12.O=C([O-])CCC(=O)C(=O)[O-].O=O>>CCC1=CC(=O)C2(C)C1=CC=C(C)CC2OC(=O)C1CCC[NH2+]1.O.O=C([O-])CCC(=O)[O-].O=C=O,CCC1=CC(=O)C2(C)C1=CC=C(C)CC2OC(=O)C1CCC[NH2+]1,C20_GGPP_like,C20_polycyclic_highly_oxygenated,1,1,C20_GGPP_like::RHEA:65116,1
RHEA:65132,C=C1C2(C)CC3C4(C)CCC(=O)OC(C)(C)C4CCC3(C)C1(C(=O)OC)C(=O)C(C)(O)C2=O.O=C([O-])CCC(=O)C(=O)[O-].O=O>>CC(N)Cc1ccccc1.O.O=C([O-])CCC(=O)[O-].O=C=O,CC(N)Cc1ccccc1,C25_GFPP_like,C10_mono_hydrocarbon,3,3,C25_GFPP_like::RHEA:65132,2
RHEA:65140,C=C1C2(C)CC3C4(C)CCC(O)C(C)(C)C4CCC3(C)C1(C(=O)OC)C(=O)C(C)C2=O.O=O.[H]*[H]>>*.C=C1C2(C)CC3C4(C)CCC(O)C(C)(C)C4CCC3(C)C1(C(=O)OC)C(=O)C(C)(O)C2=O.O,C=C1C2(C)CC3C4(C)CCC(O)C(C)(C)C4CCC3(C)C1(C(=O)OC)C(=O)C(C)(O)C2=O,C25_GFPP_like,C25_polycyclic_highly_oxygenated,3,3,C25_GFPP_like::RHEA:65140,4
RHEA:65144,C=C1C2(C)CC3C4(C)CCC(O)C(C)(C)C4CCC3(C)C1(C(=O)OC)C(=O)C(C)(O)C2=O.O=C([O-])CCC(=O)C(=O)[O-].O=O>>C=C1C2(C)CC3C4(C)CCC(=O)C(C)(C)C4CCC3(C)C1(C(=O)OC)C(=O)C(C)(O)C2=O.O.O=C([O-])CCC(=O)[O-].O=C=O,C=C1C2(C)CC3C4(C)CCC(=O)C(C)(C)C4CCC3(C)C1(C(=O)OC)C(=O)C(C)(O)C2=O,C25_GFPP_like,C25_polycyclic_highly_oxygenated,3,3,C25_GFPP_like::RHEA:65140,4
RHEA:65156,CC(N)Cc1ccccc1.O=C([O-])CCC(=O)C(=O)[O-].O=O>>C=C1C2(C)CC3=C(C)C4(C=CC(=O)OC4(C)C)CCC3(C)C1(C(=O)OC)C(=O)C(C)(O)C2=O.O.O=C([O-])CCC(=O)[O-].O=C=O,C=C1C2(C)CC3=C(C)C4(C=CC(=O)OC4(C)C)CCC3(C)C1(C(=O)OC)C(=O)C(C)(O)C2=O,C10_GPP_like,C25_polycyclic_highly_oxygenated,3,3,C10_GPP_like::RHEA:65156,0
RHEA:65168,C=C1C2(C)CC3C4(C)CCC(=O)C(C)(C)C4CCC3(C)C1(C(=O)OC)C(=O)C(C)(O)C2=O.O=O.[H]*[H]>>*.C=C1C2(C)CC3C4(C)CCC(=O)OC(C)(C)C4CCC3(C)C1(C(=O)OC)C(=O)C(C)(O)C2=O.O,C=C1C2(C)CC3C4(C)CCC(=O)OC(C)(C)C4CCC3(C)C1(C(=O)OC)C(=O)C(C)(O)C2=O,C25_GFPP_like,C25_polycyclic_highly_oxygenated,4,4,C25_GFPP_like::RHEA:65140,4
RHEA:65176,*.C=C1C2(C)CC3C4(C)CCC(O)C(C)(C)C4CCC3(C)C1(C(=O)OC)C(=O)C(C)C2=O>>C=C1C2(C)CC3C4(C)CCC(=O)C(C)(C)C4CCC3(C)C1(C(=O)OC)C(=O)C(C)C2=O.[H]*[H],C=C1C2(C)CC3C4(C)CCC(=O)C(C)(C)C4CCC3(C)C1(C(=O)OC)C(=O)C(C)C2=O,C25_GFPP_like,C25_polycyclic_highly_oxygenated,1,1,C25_GFPP_like::RHEA:65140,4
RHEA:65180,C=C1C2(C)CC3C4(C)CCC(=O)C(C)(C)C4CCC3(C)C1(C(=O)OC)C(=O)C(C)C2=O.O=O.[H]*[H]>>*.C=C1C2(C)CC3C4(C)CCC(=O)C(C)(C)C4CCC3(C)C1(C(=O)OC)C(=O)C(C)(O)C2=O.O,C=C1C2(C)CC3C4(C)CCC(=O)C(C)(C)C4CCC3(C)C1(C(=O)OC)C(=O)C(C)(O)C2=O,C25_GFPP_like,C25_polycyclic_highly_oxygenated,1,1,C25_GFPP_like::RHEA:65140,4
RHEA:65184,C=C1C2(C)CC3C4(C)CCC(=O)OC(C)(C)C4CCC3(C)C1(C(=O)OC)C(=O)C(C)(O)C2=O.O=C([O-])CCC(=O)C(=O)[O-].O=O>>C=C1C2(C)CC3C4(C)CCC(=O)OC(C)(C)C4=CCC3(C)C1(C(=O)OC)C(=O)C(C)(O)C2=O.O.O=C([O-])CCC(=O)[O-].O=C=O,C=C1C2(C)CC3C4(C)CCC(=O)OC(C)(C)C4=CCC3(C)C1(C(=O)OC)C(=O)C(C)(O)C2=O,C25_GFPP_like,C25_polycyclic_highly_oxygenated,1,1,C25_GFPP_like::RHEA:65140,4
