seed,epoch,loss,contrastive_loss,reaction_loss,protein_loss,anchor_loss,protein_anchor_loss,reaction_anchor_loss,anchor_weight,freeze_protein_tower,freeze_reaction_tower,reaction_loss_weight,reaction_negative_exclusion_rate,protein_negative_exclusion_rate
20260723,1.0,2.351759433746338,2.351759433746338,2.3584132194519043,2.331798553466797,0.0,0.0,0.0,0.0,False,False,0.75,0.010603351887464307,0.0055055198322755405
20260723,25.0,0.8124182224273682,0.8124182224273682,0.6435093283653259,1.31914484500885,0.0,0.0,0.0,0.0,False,False,0.75,0.010603351887464307,0.0055055198322755405
20260723,50.0,0.46218401193618774,0.46218401193618774,0.28499898314476013,0.9937391877174377,0.0,0.0,0.0,0.0,False,False,0.75,0.010603351887464307,0.0055055198322755405
20260723,75.0,0.3605954647064209,0.3605954647064209,0.21320372819900513,0.8027706742286682,0.0,0.0,0.0,0.0,False,False,0.75,0.010603351887464307,0.0055055198322755405
20260723,100.0,0.3098297715187073,0.3098297715187073,0.1808745265007019,0.6966955065727234,0.0,0.0,0.0,0.0,False,False,0.75,0.010603351887464307,0.0055055198322755405
20260724,1.0,2.3971917629241943,2.3971917629241943,2.4200024604797363,2.3287596702575684,0.0,0.0,0.0,0.0,False,False,0.75,0.010603351887464307,0.0055055198322755405
20260724,25.0,0.8010755181312561,0.8010755181312561,0.6360673308372498,1.29610013961792,0.0,0.0,0.0,0.0,False,False,0.75,0.010603351887464307,0.0055055198322755405
20260724,50.0,0.4526330232620239,0.4526330232620239,0.2746317386627197,0.9866368174552917,0.0,0.0,0.0,0.0,False,False,0.75,0.010603351887464307,0.0055055198322755405
20260724,75.0,0.3540000319480896,0.3540000319480896,0.20331715047359467,0.8060487508773804,0.0,0.0,0.0,0.0,False,False,0.75,0.010603351887464307,0.0055055198322755405
20260724,100.0,0.31049010157585144,0.31049010157585144,0.1806565225124359,0.6999908685684204,0.0,0.0,0.0,0.0,False,False,0.75,0.010603351887464307,0.0055055198322755405
20260725,1.0,2.378108024597168,2.378108024597168,2.390843629837036,2.3399009704589844,0.0,0.0,0.0,0.0,False,False,0.75,0.010603351887464307,0.0055055198322755405
20260725,25.0,0.8058395385742188,0.8058395385742188,0.6384823322296143,1.3079110383987427,0.0,0.0,0.0,0.0,False,False,0.75,0.010603351887464307,0.0055055198322755405
20260725,50.0,0.45486965775489807,0.45486965775489807,0.2754969298839569,0.992987871170044,0.0,0.0,0.0,0.0,False,False,0.75,0.010603351887464307,0.0055055198322755405
20260725,75.0,0.35730910301208496,0.35730910301208496,0.20236806571483612,0.8221322894096375,0.0,0.0,0.0,0.0,False,False,0.75,0.010603351887464307,0.0055055198322755405
20260725,100.0,0.3084292411804199,0.3084292411804199,0.17629170417785645,0.7048417925834656,0.0,0.0,0.0,0.0,False,False,0.75,0.010603351887464307,0.0055055198322755405
