reaction_id,reaction_signature,reaction_smiles,source
RHEA:10340,CC(C)=CCCC(C)=CCCC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-]>>Nc1ccn(C2OC(CO)C(OP(=O)(O)O)C2O)c(=O)n1,CC(C)=CCC/C(C)=C/CC/C(C)=C/COP(=O)([O-])OP(=O)([O-])[O-]>>Nc1ccn([C@@H]2O[C@H](CO)[C@@H](OP(=O)(O)O)[C@H]2O)c(=O)n1.O=P([O-])([O-])OP(=O)([O-])O,current
RHEA:10940,CC(C)=CCCC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-]>>C=C(C)C1CC=C(C)CC1,CC(C)=CCC/C(C)=C/COP(=O)([O-])OP(=O)([O-])[O-]>>[H][C@]1(C(=C)C)CC=C(C)CC1.O=P([O-])([O-])OP(=O)([O-])O,current
RHEA:11328,CC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-]>>CC(C)=CCCC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-],C=C(C)CCOP(=O)([O-])OP(=O)([O-])[O-].CC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-]>>CC(C)=CCC/C(C)=CCOP(=O)([O-])OP(=O)([O-])[O-].O=P([O-])([O-])OP(=O)([O-])O,current
RHEA:11656,*NC(COP(=O)([O-])OCC(C)(C)C(O)C(=O)NCCC(=O)NCCS)C(*)=O>>*NC(COP(=O)([O-])OCC(C)(C)C(O)C(=O)NCCC(=O)NCCSC(=O)C1CCC[NH2+]1)C(*)=O,*N[C@@H](COP(=O)([O-])OCC(C)(C)[C@@H](O)C(=O)NCCC(=O)NCCS)C(*)=O.O=C([O-])[C@@H]1CCC[NH2+]1.Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O>>*N[C@@H](COP(=O)([O-])OCC(C)(C)[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)[C@@H]1CCC[NH2+]1)C(*)=O.Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]1O.O=P([O-])([O-])OP(=O)([O-])O,current
RHEA:12016,CC(C)=CCCC(C)=CCCC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-]>>C=C1C=CC(C(C)C)CCC(C)=CCC1,CC(C)=CCC/C(C)=C/CC/C(C)=C/COP(=O)([O-])OP(=O)([O-])[O-]>>C=C1/C=C/[C@H](C(C)C)CC/C(C)=C/CC1.O=P([O-])([O-])OP(=O)([O-])O,current
RHEA:12052,CC(C)=CCCC(C)=CCCC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-]>>C=C1CCCC1(C)C1(C)CC=C(C)CC1,CC(C)=CCC/C(C)=C/CC/C(C)=C/COP(=O)([O-])OP(=O)([O-])[O-]>>C=C1CCC[C@]1(C)[C@]1(C)CC=C(C)CC1.O=P([O-])([O-])OP(=O)([O-])O,current
RHEA:12192,CC(C)=CCCC(C)=CCCC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-]>>CC1=CC(O)C(C(C)C)CCC(C)=CCC1,CC(C)=CCC/C(C)=C/CC/C(C)=C/COP(=O)([O-])OP(=O)([O-])[O-].[H]O[H]>>C/C1=C[C@@H](O)[C@@H](C(C)C)CC/C(C)=C/CC1.O=P([O-])([O-])OP(=O)([O-])O,current
RHEA:12240,CC(C)(COP(=O)([O-])OP(=O)([O-])OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)([O-])[O-])C(O)C(=O)NCCC(=O)NCCSC(=O)CC(=O)[O-]>>NC(=O)c1ccc[n+](C2OC(COP(=O)([O-])OP(=O)([O-])OCC3OC(n4cnc5c(N)ncnc54)C(OP(=O)([O-])[O-])C3O)C(O)C2O)c1,CC(C)(COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-])[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)CC(=O)[O-].CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-].NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1.[H+].Cc1cccc(O)c1C(=O)[O-]>>O=C=O.NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)c1.CC(C)(COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-])[C@@H](O)C(=O)NCCC(=O)NCCS.[H]O[H],current
RHEA:12516,CC(C)=CCCC(C)=CCCC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-]>>C=C(C)C1CC=C(C)CCC=C(C)CC1,CC(C)=CCC/C(C)=C/CC/C(C)=C/COP(=O)([O-])OP(=O)([O-])[O-]>>C=C(C)[C@H]1C/C=C(C)CC/C=C(C)CC1.O=P([O-])([O-])OP(=O)([O-])O,current
RHEA:12605,CC(=O)C(O)C(O)COP(=O)([O-])[O-]>>O=C=O,[H]C(=O)[C@H](O)COP(=O)([O-])[O-].CC(=O)C(=O)[O-].[H+].CC(=O)[C@@H](O)[C@H](O)COP(=O)([O-])[O-]>>O=C=O,current
