epoch,hard_negatives,random_negatives,loss,r2e_contrastive,e2r_contrastive,r2e_topk,e2r_topk
1,80,8,7.2844597419102985,5.9670427719751995,6.662389127413432,1.293205056587855,1.8084491789340973
2,80,8,5.622406586011251,4.387344292799631,5.79330932299296,1.1958541125059128,1.7502937893072763
3,80,8,4.595795853932699,3.5174415071805316,5.450836030642192,1.0240203907092413,1.8073201139767965
4,80,8,3.895085573196411,2.983886130650838,5.182309222221375,0.8485360811154048,1.7832778692245483
5,80,8,3.416701404253642,2.6423909783363344,4.810424013932546,0.7132256090641022,1.5994296381870905
6,80,8,2.9798136790593466,2.3074142893155414,4.5869406660397845,0.6083927790323893,1.529194990793864
7,80,8,2.589089598258336,2.025637992223104,4.326723957061768,0.49953374490141866,1.3943384289741516
8,80,8,2.4930659929911294,1.949263072013855,4.193094201882681,0.4818708387513955,1.3346400737762452
