reaction_id,reaction_signature,reaction_smiles,substrate_name,product_name,terpene_type,tps_class,has_mechanism,known_associations_masked,positive_control_id,positive_control_available,ensemble_top1_vote_fraction,ensemble_top1_rank_std,ensemble_top1_margin_z,ensemble_topk_jaccard,ensemble_topk_vote_mean,panel_size,mean_pairwise_esm_distance,minimum_pairwise_esm_distance,external_candidate_fraction,mean_hub_frequency,maximum_hub_frequency,mean_original_rank,sequence_risk_candidates_excluded,sequence_eligible_pool_size,diversity_percentile,agreement_percentile,vote_percentile,nonhub_percentile,control_score,campaign_priority_score,campaign_priority_rank
MARTS_EXT_RXN_efd2739d909f,CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-]>>C=C(C)C1CCC2(C)CC=C(C)CCC=C(C)CC=C12,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/COP(=O)([O-])OP(=O)([O-])[O-]>>C=C(C)[C@@H]1CC[C@@]2(C)CC=C(C)CCC=C(C)C/C=C\12,"(2E,6E,10E)-GGPP","3,7,10-dolabellatriene",di,1,True,1,A0A250IBE0,True,1.0,0.0,0.3521957020315729,0.4638447971781305,0.8,12,0.046834059059619904,0.013927340507507324,0.75,10.75,25,6.75,0,20,0.4125,0.5375,0.6708333333333333,0.3104166666666667,1.0,0.5388541666666666,121
MARTS_EXT_RXN_4356ef28995d,CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-]>>CC(C)C1=CC23C(O)C(C)CCC2(C)CCC3C(C)CC1,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/COP(=O)([O-])OP(=O)([O-])[O-]>>CC(C)C1=C[C@@]23[C@H](CC[C@]2(C)CC[C@H](C)[C@@H]3O)[C@@H](C)CC1,"(2E,6E,10E)-GGPP",salbirenol,di,1,True,1,A0A1Z2LDZ7,True,0.6666666666666666,0.471404492855072,0.12300980355739,0.4664177882568687,0.7666666666666667,12,0.05769771710038185,0.009432196617126465,0.75,19.5,38,6.666666666666667,0,20,0.55,0.5604166666666667,0.5208333333333334,0.175,1.0,0.5355208333333333,122
MARTS_EXT_RXN_fa0e122a530f,CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-]>>CC(C)C1CCC2(C)CCC3(C)CC4C(CC5(C)C6CC6C45C)C3C12,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/COP(=O)([O-])OP(=O)([O-])[O-]>>CC(C)[C@H]1CC[C@@]2(C)CC[C@]3(C)C[C@H]4[C@H](C[C@]5(C)[C@H]6C[C@H]6[C@]45C)[C@H]3[C@H]12,"(2E,6E,10E,14E)-GFPP",subrutilane,sester,1,True,1,WP_150521282,True,0.6666666666666666,0.471404492855072,0.0991098540596916,0.429787751626832,0.7833333333333333,12,0.06365670263767242,0.006035268306732178,0.5,21.75,41,7.416666666666667,0,20,0.625,0.46458333333333335,0.6104166666666667,0.06458333333333334,1.0,0.5354166666666668,123
MARTS_EXT_RXN_76499a11d465,CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-]>>CC(=CCOP(=O)([O-])OP(=O)([O-])[O-])CCC1(C)C(C)CC=C2C1CCCC2(C)C,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/COP(=O)([O-])OP(=O)([O-])[O-]>>C/C(=C\COP(=O)([O-])OP(=O)([O-])[O-])CC[C@@]1(C)[C@@H]2CCCC(C)(C)C2=CC[C@@H]1C,"(2E,6E,10E)-GGPP",tuberculosinyl diphosphate(3−),di,2,True,1,O50406,True,1.0,0.0,0.6639515381895099,0.38668430335097,0.75,12,0.06301563233137131,0.0012711286544799805,0.25,5.75,19,7.25,0,20,0.6125,0.3375,0.4354166666666667,0.5291666666666667,1.0,0.5345833333333333,124
MARTS_EXT_RXN_fd49ae10b01d,CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-]>>C=C(CCC=C(C)C)C1CCC2(C)C3CCC(C)C3C12,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/COP(=O)([O-])OP(=O)([O-])[O-]>>C=C(CCC=C(C)C)[C@H]1CC[C@]2(C)[C@H]1[C@@H]1[C@H]2CC[C@@H]1C,"(2E,6E,10E)-GGPP","spata-13,17-diene",di,1,True,1,A0A3M8F3X6,True,0.6666666666666666,0.471404492855072,0.1067002154580591,0.3362068965517241,0.6833333333333333,12,0.11775976419448853,0.00989067554473877,0.5833333333333334,10.916666666666666,21,8.5,2,18,0.925,0.21875,0.16041666666666668,0.4583333333333333,1.0,0.5330208333333334,125
MARTS_EXT_RXN_1d852b407f95,CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-]>>CC(C)=CCCC(C)=CCCC(C)=C1CC=C(C)CC1,CC(C)=CCC/C(C)=C\CC/C(C)=C\CC/C(C)=C\COP(=O)([O-])OP(=O)([O-])[O-]>>CC(C)=CCC/C(C)=C\CC/C(C)=C1\CC=C(C)CC1,nerylneryl diphosphate,9-neryl-4E-terpinolene,di,1,True,1,A0A401VY17,True,0.6666666666666666,0.471404492855072,0.0012531260938598,0.4320987654320987,0.7333333333333333,12,0.08017909526824951,0.007304668426513672,0.5,19.5,41,8.083333333333334,0,20,0.7625,0.4875,0.3625,0.06458333333333334,1.0,0.5328125,126
MARTS_EXT_RXN_9aca0b07537d,CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-]>>CC(C)=CCCC1(C)CCC(C)=CCCC(C)(O)C2CC21,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/COP(=O)([O-])OP(=O)([O-])[O-]>>CC(C)=CCC[C@]1(C)CC/C(C)=C/CC[C@@](C)(O)[C@@H]2C[C@H]21,"(2E,6E,10E)-GGPP",Palmatol,di,1,True,1,A0A979G646,True,1.0,0.0,0.3503175114433943,0.3793103448275861,0.7166666666666667,12,0.08077976107597351,0.0077321529388427734,0.75,10.583333333333334,21,8.666666666666666,0,20,0.7666666666666667,0.30625,0.2875,0.4583333333333333,1.0,0.5328125,127
MARTS_EXT_RXN_df06835b65dd,CC(C)=CCCC(C)=CCCC(C)=CC1C(COP(=O)([O-])OP(=O)([O-])[O-])C1(C)CCC=C(C)CCC=C(C)C>>C=CC(C)(C=CC(C)CCC=C(C)CCC=C(C)C)CCC=C(C)CCC=C(C)C,CC(C)=CCC/C(C)=C/CC/C(C)=C/[C@H]1[C@H](COP(=O)([O-])OP(=O)([O-])[O-])[C@@]1(C)CC/C=C(\C)CCC=C(C)C>>C=C[C@@](C)(/C=C/[C@H](C)CC/C=C(\C)CCC=C(C)C)CC/C=C(\C)CCC=C(C)C,presqualene diphosphate,C30 botryococcene,tri,1,True,1,G0Y288,True,1.0,0.0,0.218936485641924,0.4001251635660237,0.7333333333333333,12,0.053606417030096054,0.006144165992736816,0.5,7.833333333333333,11,7.583333333333333,2,18,0.49166666666666664,0.41458333333333336,0.3625,0.7166666666666667,1.0,0.5311458333333333,128
MARTS_EXT_RXN_66c7e35bfd6a,CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-]>>CC(C)=CCCC(C)=CCCC1(C)C2C=C(C)CCC=C(C)CCC21,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/COP(=O)([O-])OP(=O)([O-])[O-]>>CC(C)=CCC/C(C)=C/CC[C@@]1(C)[C@@H]2/C=C(\C)CC/C=C(\C)CC[C@@H]21,"(2E,6E,10E,14E)-GFPP",geranyl-bicyclogermacrene,sester,1,True,1,A0A3M8F3X6,True,0.3333333333333333,1.6996731758117676,0.1236718259079897,0.3333333333333333,0.6833333333333333,12,0.12913775444030762,0.009468913078308105,0.5,10.916666666666666,21,8.0,1,19,0.9541666666666667,0.17291666666666666,0.16041666666666668,0.4583333333333333,1.0,0.5303125,129
MARTS_EXT_RXN_7844025b0372,CC(C)=CCCC(C)=CCCC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-]>>CC1=CC2(C(C)C)CCC(C)C(CC1)C2O,CC(C)=CCC/C(C)=C/CC/C(C)=C/COP(=O)([O-])OP(=O)([O-])[O-]>>CC1=C[C@]2(C(C)C)CC[C@@H](C)[C@H](CC1)[C@H]2O,"(2E,6E)-FPP",koidzumiol,sesq,1,True,1,A0A1L7NYG2,True,1.0,0.0,0.7482254275387112,0.4144620811287478,0.75,12,0.05172305554151535,1.4662742614746094e-05,0.75,3.1666666666666665,15,6.666666666666667,0,20,0.4666666666666667,0.4395833333333333,0.4354166666666667,0.61875,1.0,0.5297916666666667,130
MARTS_EXT_RXN_a330ce4c4099,CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-]>>CC(C)=CCCC(C)C1CCC(C)C2CC=C(C)C=C21,CC(C)=CCC/C(C)=C\CC/C(C)=C\CC/C(C)=C\COP(=O)([O-])OP(=O)([O-])[O-]>>CC(C)=CCC[C@H](C)[C@@H]1CC[C@@H](C)[C@H]2CC=C(C)C=C12,nerylneryl diphosphate,dihydroserrulatene,di,1,True,1,QNC49769.1,True,0.0,0.8164966106414795,0.0561528409769195,0.368379131819992,0.7166666666666667,12,0.07272070646286011,1.7404556274414062e-05,0.6666666666666666,8.25,18,7.166666666666667,0,20,0.7083333333333334,0.3,0.2875,0.5583333333333333,1.0,0.5287499999999999,131
MARTS_EXT_RXN_b1f6de0feffa,CC(C)=CCCC(C)=CCCC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-]>>CC1(C)C2CCC3(C)CCCC3(C)C(O)C21,CC(C)=CCC/C(C)=C/CC/C(C)=C/COP(=O)([O-])OP(=O)([O-])[O-]>>CC1(C)[C@@H]2[C@H]1CC[C@]1(C)CCC[C@]1(C)[C@H]2O,"(2E,6E)-FPP",neomeranol B,sesq,1,True,1,C9Z4F7,True,0.3333333333333333,1.6996731758117676,0.0858175794517895,0.2912186379928315,0.6666666666666666,12,0.11606335639953613,0.00888371467590332,0.25,4.75,10,7.916666666666667,0,20,0.9166666666666666,0.07291666666666667,0.10833333333333334,0.7479166666666667,1.0,0.5270833333333333,132
MARTS_EXT_RXN_23b0ccdf5255,C=C1CCC2C(C)(C)CCCC2(C)C1CCC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-]>>CC(C)C1=CC=C2C(CCC3C(C)(C)CCCC23C)C1,C=C1CC[C@@H]2C(C)(C)CCC[C@@]2(C)[C@@H]1CC/C(C)=C/COP(=O)([O-])OP(=O)([O-])[O-]>>CC(C)C1=CC=C2[C@@H](CC[C@@H]3C(C)(C)CCC[C@@]23C)C1,ent-copalyl diphosphate,"8-epi-abieta-3(4),5-diene",di,1,True,1,MBW4630784.1,True,1.0,0.0,1.9809307822988285,0.3837048023180763,0.6833333333333333,12,0.11359114199876785,0.001801133155822754,0.5,10.0,30,8.5,0,20,0.9041666666666667,0.3333333333333333,0.16041666666666668,0.26666666666666666,1.0,0.5266666666666666,133
