reaction_id,reaction_signature,reaction_smiles,substrate_name,product_name,terpene_type,tps_class,has_mechanism,known_associations_masked,positive_control_id,positive_control_available,ensemble_top1_vote_fraction,ensemble_top1_rank_std,ensemble_top1_margin_z,ensemble_topk_jaccard,ensemble_topk_vote_mean,panel_size,mean_pairwise_esm_distance,minimum_pairwise_esm_distance,external_candidate_fraction,mean_hub_frequency,maximum_hub_frequency,mean_original_rank,sequence_risk_candidates_excluded,sequence_eligible_pool_size,diversity_percentile,agreement_percentile,vote_percentile,nonhub_percentile,control_score,campaign_priority_score,campaign_priority_rank,balanced_campaign_order
MARTS_EXT_RXN_237f1c153ad6,CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-]>>CC1=CC2C(CCC(C)=CCC1)C(C)CCC2(O)C(C)C,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/COP(=O)([O-])OP(=O)([O-])[O-]>>C/C1=C\[C@@H]2[C@H](CC/C(C)=C/CC1)[C@@H](C)CC[C@]2(O)C(C)C,"(2E,6E,10E)-GGPP",chitinol,di,1,True,1,A0A979G5X7,True,0.3333333333333333,0.942808985710144,0.0001298281982976,0.6222222222222222,0.8666666666666667,12,0.08990851044654846,0.0077321529388427734,0.6666666666666666,9.416666666666666,19,8.25,0,20,0.8083333333333333,0.875,0.90625,0.5291666666666667,1.0,0.821875,4,1
MARTS_EXT_RXN_890006655690,CC(C)=CC1C(COP(=O)([O-])OP(=O)([O-])[O-])C1(C)C>>CC(C)=CC1C(CO)C1(C)C,CC(C)=C[C@@H]1[C@@H](COP(=O)([O-])OP(=O)([O-])[O-])C1(C)C>>CC(C)=C[C@@H]1[C@@H](CO)C1(C)C,"(R,R)-chrysanthemyl diphosphate","(R,R)-chrysanthemol",mono,1,True,1,P0C565,True,1.0,0.0,1.3199596879639584,0.4828381495048161,0.7666666666666667,12,0.09141046553850174,0.011115789413452148,0.6666666666666666,5.833333333333333,13,7.75,1,19,0.8208333333333333,0.5958333333333333,0.5208333333333334,0.6770833333333334,1.0,0.7009374999999999,32,2
MARTS_EXT_RXN_bb0c8b67ae81,CC(C)=CCCC(C)=CCCC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-]>>CC1=CC2C(C)(C)C3CCC(C)C23CC1,CC(C)=CCC/C(C)=C/CC/C(C)=C/COP(=O)([O-])OP(=O)([O-])[O-]>>CC1=C[C@@H]2C(C)(C)[C@H]3CC[C@@H](C)[C@@]23CC1,"(2E,6E)-FPP",(+)-Isoitalicene,sesq,1,True,1,E5GAG1,True,0.6666666666666666,0.471404492855072,0.3789126662434871,0.5399810066476732,0.8333333333333334,12,0.08825688064098358,9.769201278686523e-05,0.75,4.0,9,6.916666666666667,0,20,0.7916666666666666,0.75625,0.8145833333333333,0.7895833333333333,1.0,0.8079166666666666,7,3
MARTS_EXT_RXN_92f6ef4d14a5,CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)C1=CCC(C)=CC1>>CC1=CCC(C(C)CCC2C(C)(O)CCC3C2(C)CCC2C4(C)CCCC(C)(C)C4CCC23C)=CC1,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC[C@@H](C)C1=CCC(C)=CC1>>CC1=CCC([C@H](C)CC[C@@H]2[C@@]3(C)CC[C@H]4[C@@](C)(CC[C@H]5C(C)(C)CCC[C@]45C)[C@@H]3CC[C@@]2(C)O)=CC1,(R)-tetraprenyl-β-curcumene,sporulenol,sesquar,1,True,1,Q796C3,True,1.0,0.0,0.3863997179052166,0.3873724841466777,0.7166666666666667,12,0.15092754364013672,0.00863736867904663,0.5833333333333334,3.5,8,7.166666666666667,1,19,0.9916666666666667,0.3458333333333333,0.2875,0.8479166666666667,1.0,0.6686458333333333,44,4
MARTS_EXT_RXN_c33f8bcece70,CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-]>>C=C1CCC2C(=C(C)C3CC4C(C(C)C)CCC4(C)CC13)CCC2C,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/COP(=O)([O-])OP(=O)([O-])[O-]>>C=C1CC[C@@H]2C(=C(C)[C@H]3C[C@H]4[C@H](C(C)C)CC[C@]4(C)C[C@H]13)CC[C@@H]2C,"(2E,6E,10E,14E)-GFPP",aspergildiene B,sester,1,True,1,P9WEP0,True,0.6666666666666666,0.471404492855072,0.5115057047140968,0.6444444444444444,0.85,12,0.05923258513212204,0.0005584955215454102,0.4166666666666667,11.833333333333334,31,7.166666666666667,0,20,0.5666666666666667,0.9104166666666667,0.8583333333333333,0.24583333333333332,1.0,0.7061458333333333,27,5
MARTS_EXT_RXN_78f709de4b7c,CC(C)=CCCC(C)=CCCC(C)=CC1C(COP(=O)([O-])OP(=O)([O-])[O-])C1(C)CCC=C(C)CCC=C(C)C>>CC(C)=CCCC(C)=CCCC(C)=CCOCC=C(C)CCC=C(C)CCC=C(C)C,CC(C)=CCC/C(C)=C/CC/C(C)=C/[C@H]1[C@H](COP(=O)([O-])OP(=O)([O-])[O-])[C@@]1(C)CC/C=C(\C)CCC=C(C)C>>CC(C)=CCC/C(C)=C/CC/C(C)=C/COC/C=C(\C)CC/C=C(\C)CCC=C(C)C,presqualene diphosphate,bisfarnesyl ether,tri,1,True,1,G0Y287,True,1.0,0.0,0.1360770592179898,0.7391304347826088,0.9,12,0.05712101608514786,1.1920928955078125e-07,0.4166666666666667,6.666666666666667,13,7.0,0,20,0.5375,0.9916666666666667,0.9708333333333333,0.6770833333333334,1.0,0.8048958333333334,8,6
MARTS_EXT_RXN_0304c0087056,CC(C)=CCCC(C)=CCCC(C)=CCCC=C(C)CCC=C(C)CCC1OC1(C)C>>CC(C)(O)C1CCC2(C)C1CCC1(C)C2CCC2C3(C)CCC(O)C(C)(C)C3CCC21C,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C=C(\C)CC/C=C(\C)CC[C@@H]1OC1(C)C>>CC(C)(O)[C@H]1CC[C@]2(C)[C@H]3CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@@]4(C)[C@]3(C)CC[C@@H]12,"(S)-2,3-epoxysqualene","21-beta-H-hopane-3-beta,22-diol",tri,2,True,1,B0Y565,True,1.0,0.0,0.1119931120275641,0.5209876543209876,0.8,12,0.11100390553474426,0.006492674350738525,0.08333333333333333,4.416666666666667,9,9.666666666666666,2,18,0.8916666666666667,0.7125,0.6708333333333333,0.7895833333333333,1.0,0.7982291666666667,10,7
MARTS_EXT_RXN_4c4ba4bc0549,CC(C)=CCCC(C)=CCCC(C)=CCCC=C(C)CCC=C(C)CCC1OC1(C)C>>C=C1CCC(O)C(C)(C)C1CCC(C)=CCCC=C(C)CCC=C(C)CCC=C(C)C,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C=C(\C)CC/C=C(\C)CC[C@@H]1OC1(C)C>>C=C1CC[C@H](O)C(C)(C)[C@@H]1CC/C(C)=C/CC/C=C(\C)CC/C=C(\C)CCC=C(C)C,"(S)-2,3-epoxysqualene",achilleol A,tri,2,True,1,P0C8Y0,True,0.6666666666666666,0.471404492855072,0.311526178683004,0.6666666666666666,0.8833333333333333,12,0.031997982412576675,3.826618194580078e-05,0.25,3.0833333333333335,7,6.666666666666667,1,19,0.22083333333333333,0.9395833333333333,0.9479166666666666,0.8979166666666667,1.0,0.7254166666666666,20,8
MARTS_EXT_RXN_000c8b710696,CC(C)=CCCC(C)=CCCC(C)=CCCC=C(C)CCC=C(C)CCC=C(C)C>>C=C(C)C1CCC2(C)C1CCC1(C)C2CCC2C3(C)CCCC(C)(C)C3CCC21C,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C=C(\C)CC/C=C(\C)CCC=C(C)C>>C=C(C)[C@H]1CC[C@]2(C)[C@H]3CC[C@@H]4[C@@]5(C)CCCC(C)(C)[C@@H]5CC[C@@]4(C)[C@]3(C)CC[C@@H]12,squalene,hop-22(29)-ene,tri,2,True,5,P33247,True,0.6666666666666666,0.471404492855072,0.1593413585296599,0.4297877516268321,0.7333333333333333,12,0.14451198279857635,0.0123177170753479,0.4166666666666667,3.4166666666666665,8,8.416666666666666,2,18,0.9875,0.475,0.3625,0.8479166666666667,1.0,0.7146875,24,9
MARTS_EXT_RXN_455979525191,CC(C)=CCCC(C)=CCCC(C)=CCCC=C(C)CCC=C(C)CCC1OC1(C)C>>CC(C)(O)C1CCC2(C)CCC3(C)C(CCC4C5(C)CCC(O)C(C)(C)C5CCC43C)C12,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C=C(\C)CC/C=C(\C)CC[C@@H]1OC1(C)C>>CC(C)(O)[C@@H]1CC[C@]2(C)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,"(S)-2,3-epoxysqualene","lupan-3β,20-diol",tri,2,True,1,Q9C5M3,True,0.6666666666666666,0.9428090453147888,0.0056724300669602,0.6222222222222222,0.8833333333333333,12,0.031833186745643616,3.826618194580078e-05,0.25,3.25,6,6.916666666666667,0,20,0.2125,0.875,0.9479166666666666,0.925,1.0,0.7108333333333333,26,10
MARTS_EXT_RXN_5e756bc9af81,CC(=CCOP(=O)([O-])OP(=O)([O-])[O-])CCC1(C)C(C)CCC2(C)C(C)=CCCC21>>C=CC(C)(O)CCC1(C)C(C)CCC2(C)C(C)=CCCC21,CC1=CCC[C@H]2[C@](C)(CC/C(C)=C/COP(=O)([O-])OP(=O)([O-])[O-])[C@H](C)CC[C@@]12C>>C=CC(C)(O)CC[C@]1(C)[C@H](C)CC[C@@]2(C)C(C)=CCC[C@@H]12,ent-neo-cis-trans-kolavenol,ent-neo-cis-trans-kolavelool,di,1,True,1,A0A345ZQ25,True,1.0,0.0,1.401849449412227,0.5432098765432098,0.8166666666666667,12,0.10382598638534546,0.004519820213317871,0.3333333333333333,2.9166666666666665,12,8.083333333333334,0,20,0.8833333333333333,0.7833333333333333,0.7416666666666667,0.7041666666666667,1.0,0.8147916666666666,6,11
MARTS_EXT_RXN_3d09cb5fb800,CC(C)=CCCC(C)=CCCC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-]>>C=C1C=C2C(CC1)C(C)CCCC2(C)C,CC(C)=CCC/C(C)=C/CC/C(C)=C\COP(=O)([O-])OP(=O)([O-])[O-]>>C=C1C=C2[C@@H](CC1)[C@H](C)CCCC2(C)C,"(2Z,6E)-FPP","(6R,7S)-2,2,6-trimethyl-10-methylenebicyclo[5.4.0]undec-1(11)-ene",sesq,1,True,1,A0A140AZ63,True,1.0,0.0,0.2103783263239856,0.5604938271604939,0.8333333333333334,12,0.081667460501194,0.002499818801879883,0.5833333333333334,6.5,13,7.333333333333333,2,18,0.775,0.8125,0.8145833333333333,0.6770833333333334,1.0,0.8001041666666666,9,12
