seed,epoch,loss,reaction_loss,protein_loss
20260723,1.0,6.152649879455566,6.26846981048584,6.036829471588135
20260723,25.0,2.2708983421325684,2.412808895111084,2.1289877891540527
20260723,50.0,1.1142981052398682,1.052100419998169,1.1764956712722778
20260723,75.0,0.6827308535575867,0.57902592420578,0.7864357829093933
20260723,100.0,0.5181246399879456,0.4281003773212433,0.6081489324569702
20260723,125.0,0.4415777921676636,0.3595161736011505,0.5236393809318542
20260723,150.0,0.4080237150192261,0.3342767059803009,0.48177069425582886
20260723,175.0,0.3739360570907593,0.30453571677207947,0.4433364272117615
20260723,200.0,0.35575419664382935,0.2884441018104553,0.423064261674881
20260723,225.0,0.3450411260128021,0.27844947576522827,0.411632776260376
20260723,250.0,0.33152443170547485,0.27126345038414,0.3917854130268097
20260723,275.0,0.3254340589046478,0.2613758146762848,0.38949230313301086
20260723,300.0,0.31897398829460144,0.2641841173171997,0.3737638592720032
20260724,1.0,6.1725664138793945,6.270362377166748,6.074769973754883
20260724,25.0,2.2152371406555176,2.3466553688049316,2.0838191509246826
20260724,50.0,1.0686613321304321,0.9949361085891724,1.142386555671692
20260724,75.0,0.649776816368103,0.5567551851272583,0.7427984476089478
20260724,100.0,0.5174297094345093,0.4241817891597748,0.6106776595115662
20260724,125.0,0.44093406200408936,0.35752853751182556,0.5243395566940308
20260724,150.0,0.39499175548553467,0.3241710066795349,0.4658125042915344
20260724,175.0,0.3712660074234009,0.30417561531066895,0.4383563995361328
20260724,200.0,0.35497575998306274,0.2884025275707245,0.4215489625930786
20260724,225.0,0.3421485424041748,0.2756209075450897,0.4086761474609375
20260724,250.0,0.3288983702659607,0.2663653492927551,0.39143136143684387
20260724,275.0,0.33012843132019043,0.26861563324928284,0.391641229391098
20260724,300.0,0.3138953447341919,0.2596806287765503,0.3681100904941559
20260725,1.0,6.213269233703613,6.323056697845459,6.103481292724609
20260725,25.0,2.2518272399902344,2.381314754486084,2.1223397254943848
20260725,50.0,1.1120415925979614,1.0579934120178223,1.1660897731781006
20260725,75.0,0.6823583245277405,0.585444450378418,0.779272198677063
20260725,100.0,0.5151486396789551,0.42760077118873596,0.6026965379714966
20260725,125.0,0.44318944215774536,0.36658743023872375,0.5197914838790894
20260725,150.0,0.3984357714653015,0.326838880777359,0.4700326919555664
20260725,175.0,0.37537944316864014,0.30708542466163635,0.44367343187332153
20260725,200.0,0.3621763586997986,0.29871800541877747,0.4256347417831421
20260725,225.0,0.3386310935020447,0.2786802053451538,0.39858198165893555
20260725,250.0,0.3320944011211395,0.27476635575294495,0.3894224464893341
20260725,275.0,0.3241729736328125,0.26995089650154114,0.3783950209617615
20260725,300.0,0.3197222352027893,0.2606131434440613,0.37883129715919495
