direction,objective,n_queries,unique_top1,top1_top_candidate_share,top10_candidates_share,effective_top1_candidates,top1_external_share
enzyme_to_reaction,top10,694,199,0.05187319884726225,0.11123919308357348,120.4607842800645,0.06484149855907781
enzyme_to_reaction,top20,694,217,0.03602305475504323,0.07644092219020172,139.1306346954145,0.10951008645533142
enzyme_to_reaction,top3,694,202,0.04755043227665706,0.1729106628242075,127.78490724156521,0.0893371757925072
reaction_to_enzyme,top10,240,156,0.04583333333333333,0.09541666666666666,123.60276950932206,0.5083333333333333
reaction_to_enzyme,top20,240,156,0.04583333333333333,0.06916666666666667,123.60276950932206,0.5083333333333333
reaction_to_enzyme,top3,240,156,0.04583333333333333,0.15,119.91001834500149,0.48333333333333334
