seed,epoch,loss,contrastive_loss,reaction_loss,protein_loss,anchor_loss,protein_anchor_loss,reaction_anchor_loss,anchor_weight,freeze_protein_tower,freeze_reaction_tower,reaction_loss_weight,loss_mode,hard_negative_k,active_hard_negative_k,hard_negative_start_epoch,hard_negative_end_epoch,model_selection,topk_surrogate_weight,topk_surrogate_k,topk_surrogate_margin,topk_surrogate_loss,topk_reaction_loss,topk_protein_loss,reaction_negative_exclusion_rate,protein_negative_exclusion_rate
20260723,1.0,2.254917621612549,2.254917621612549,2.2159996032714844,2.293835401535034,0.0,0.0,0.0,0.0,False,False,0.5,bidirectional_infonce,128,128,1,0,min_loss,0.0,10,0.0,0.0,0.0,0.0,0.010603351887464307,0.0055055198322755405
20260723,25.0,0.8920015096664429,0.8920015096664429,0.7237784266471863,1.0602245330810547,0.0,0.0,0.0,0.0,False,False,0.5,bidirectional_infonce,128,128,1,0,min_loss,0.0,10,0.0,0.0,0.0,0.0,0.010603351887464307,0.0055055198322755405
20260723,50.0,0.5262604355812073,0.5262604355812073,0.3353773057460785,0.7171435356140137,0.0,0.0,0.0,0.0,False,False,0.5,bidirectional_infonce,128,128,1,0,min_loss,0.0,10,0.0,0.0,0.0,0.0,0.010603351887464307,0.0055055198322755405
20260724,1.0,2.294595718383789,2.294595718383789,2.296579122543335,2.292612314224243,0.0,0.0,0.0,0.0,False,False,0.5,bidirectional_infonce,128,128,1,0,min_loss,0.0,10,0.0,0.0,0.0,0.0,0.010603351887464307,0.0055055198322755405
20260724,25.0,0.881374716758728,0.881374716758728,0.7130300402641296,1.0497194528579712,0.0,0.0,0.0,0.0,False,False,0.5,bidirectional_infonce,128,128,1,0,min_loss,0.0,10,0.0,0.0,0.0,0.0,0.010603351887464307,0.0055055198322755405
20260724,50.0,0.5212756991386414,0.5212756991386414,0.32789358496665955,0.7146577835083008,0.0,0.0,0.0,0.0,False,False,0.5,bidirectional_infonce,128,128,1,0,min_loss,0.0,10,0.0,0.0,0.0,0.0,0.010603351887464307,0.0055055198322755405
20260725,1.0,2.2871034145355225,2.2871034145355225,2.269582509994507,2.304624319076538,0.0,0.0,0.0,0.0,False,False,0.5,bidirectional_infonce,128,128,1,0,min_loss,0.0,10,0.0,0.0,0.0,0.0,0.010603351887464307,0.0055055198322755405
20260725,25.0,0.8834984302520752,0.8834984302520752,0.7094557881355286,1.0575411319732666,0.0,0.0,0.0,0.0,False,False,0.5,bidirectional_infonce,128,128,1,0,min_loss,0.0,10,0.0,0.0,0.0,0.0,0.010603351887464307,0.0055055198322755405
20260725,50.0,0.5234137773513794,0.5234137773513794,0.3226652145385742,0.7241622805595398,0.0,0.0,0.0,0.0,False,False,0.5,bidirectional_infonce,128,128,1,0,min_loss,0.0,10,0.0,0.0,0.0,0.0,0.010603351887464307,0.0055055198322755405
