enzyme_id,uniprot_id,status,attempted_versions,downloaded_version,download_url,local_path,error
A0A0U5GRB4,A0A0U5GRB4,existing,,,,/home/runnel/igem-pocket/data/terpene_cage_screen/structures/A0A0U5GRB4.cif,
A0A0U5HAP0,A0A0U5HAP0,existing,,,,/home/runnel/igem-pocket/data/terpene_cage_screen/structures/A0A0U5HAP0.cif,
A0A0U5HAQ4,A0A0U5HAQ4,existing,,,,/home/runnel/igem-pocket/data/terpene_cage_screen/structures/A0A0U5HAQ4.cif,
A0A125SXN1,A0A125SXN1,existing,,,,/home/runnel/igem-pocket/data/terpene_cage_screen/structures/A0A125SXN1.cif,
A0A125SXN2,A0A125SXN2,existing,,,,/home/runnel/igem-pocket/data/terpene_cage_screen/structures/A0A125SXN2.cif,
A0A125SXN3,A0A125SXN3,failed,v4:http_error=404|v3:http_error=404|v2:http_error=404,,,,v4:http_error=404; v3:http_error=404; v2:http_error=404
A0A140JWS2,A0A140JWS2,existing,,,,/home/runnel/igem-pocket/data/terpene_cage_screen/structures/A0A140JWS2.cif,
A0A140JWS4,A0A140JWS4,existing,,,,/home/runnel/igem-pocket/data/terpene_cage_screen/structures/A0A140JWS4.cif,
A0A140JWS5,A0A140JWS5,existing,,,,/home/runnel/igem-pocket/data/terpene_cage_screen/structures/A0A140JWS5.cif,
A0A140JWS6,A0A140JWS6,existing,,,,/home/runnel/igem-pocket/data/terpene_cage_screen/structures/A0A140JWS6.cif,
A0A140JWS7,A0A140JWS7,existing,,,,/home/runnel/igem-pocket/data/terpene_cage_screen/structures/A0A140JWS7.cif,
A0A140JWS8,A0A140JWS8,existing,,,,/home/runnel/igem-pocket/data/terpene_cage_screen/structures/A0A140JWS8.cif,
A0A140JWS9,A0A140JWS9,existing,,,,/home/runnel/igem-pocket/data/terpene_cage_screen/structures/A0A140JWS9.cif,
A0A140JWT0,A0A140JWT0,existing,,,,/home/runnel/igem-pocket/data/terpene_cage_screen/structures/A0A140JWT0.cif,
A0A140JWT1,A0A140JWT1,existing,,,,/home/runnel/igem-pocket/data/terpene_cage_screen/structures/A0A140JWT1.cif,
A0A140JWT2,A0A140JWT2,existing,,,,/home/runnel/igem-pocket/data/terpene_cage_screen/structures/A0A140JWT2.cif,
A0A140JWT3,A0A140JWT3,existing,,,,/home/runnel/igem-pocket/data/terpene_cage_screen/structures/A0A140JWT3.cif,
A0A140JWT4,A0A140JWT4,existing,,,,/home/runnel/igem-pocket/data/terpene_cage_screen/structures/A0A140JWT4.cif,
A0A140JWT5,A0A140JWT5,existing,,,,/home/runnel/igem-pocket/data/terpene_cage_screen/structures/A0A140JWT5.cif,
A0A140JWT6,A0A140JWT6,existing,,,,/home/runnel/igem-pocket/data/terpene_cage_screen/structures/A0A140JWT6.cif,
A0A140JWT7,A0A140JWT7,existing,,,,/home/runnel/igem-pocket/data/terpene_cage_screen/structures/A0A140JWT7.cif,
