calibrator,deployable,roc_auc,roc_auc_ci_low,roc_auc_ci_high,average_precision,base_hit_rate,brier_score
enzyme_to_reaction_top10,True,0.7108823529411764,0.6315070442757673,0.7870545629936555,0.5450231472094585,0.2537313432835821,0.2026283582498317
enzyme_to_reaction_top3,True,0.8742047426257952,0.8016307175076021,0.9360983771813854,0.343785846744729,0.0783582089552238,0.1443344197274949
reaction_to_enzyme_top10,True,0.6260670731707317,0.5190350623007823,0.7307044187044185,0.1851359636501299,0.1350210970464135,0.2340579241508401
reaction_to_enzyme_top20,True,0.6103009259259258,0.5144850517502803,0.7036042157324541,0.3379361198319044,0.189873417721519,0.2427219622532294
reaction_to_enzyme_top3,False,0.4352373290426388,0.269905458555901,0.6222828831103251,0.0490296786660831,0.0464135021097046,0.2421706664099268
enzyme_to_reaction_top20,True,0.6951796669588082,0.6265967932416637,0.7584877487693823,0.6123670606245954,0.3917910447761194,0.218818116637976
