row,reaction_id
0,MARTS_EXT_RXN_000c8b710696
1,MARTS_EXT_RXN_012d56c064db
2,MARTS_EXT_RXN_0216267ce7f4
3,MARTS_EXT_RXN_029b92fe95de
4,MARTS_EXT_RXN_0304c0087056
5,MARTS_EXT_RXN_033964ff02d8
6,MARTS_EXT_RXN_035143e0b4ac
7,MARTS_EXT_RXN_0396c90bff0f
8,MARTS_EXT_RXN_055064ae05a5
9,MARTS_EXT_RXN_0601074748a9
10,MARTS_EXT_RXN_0718113ff706
11,MARTS_EXT_RXN_07865104318f
12,MARTS_EXT_RXN_08a2e34a37c3
13,MARTS_EXT_RXN_0aa1aeb0f8d8
14,MARTS_EXT_RXN_0b0f5e083f77
15,MARTS_EXT_RXN_0bc621c08854
16,MARTS_EXT_RXN_0d75732112ff
17,MARTS_EXT_RXN_0e08d025745c
18,MARTS_EXT_RXN_0e80c1eb7cd8
19,MARTS_EXT_RXN_0fa82c3b7c55
20,MARTS_EXT_RXN_12ea76795241
21,MARTS_EXT_RXN_1428f098b24c
22,MARTS_EXT_RXN_16e609c93e52
23,MARTS_EXT_RXN_193d44981939
24,MARTS_EXT_RXN_1c2da1449873
25,MARTS_EXT_RXN_1d852b407f95
26,MARTS_EXT_RXN_1da1a2f90d9e
27,MARTS_EXT_RXN_1f7cef5e91c2
28,MARTS_EXT_RXN_219616d40b4a
29,MARTS_EXT_RXN_2250a8a7fe50
30,MARTS_EXT_RXN_22bda90ee992
31,MARTS_EXT_RXN_23432a8b720a
32,MARTS_EXT_RXN_237f1c153ad6
33,MARTS_EXT_RXN_23b0ccdf5255
34,MARTS_EXT_RXN_247c337c8f65
35,MARTS_EXT_RXN_2554ee320331
36,MARTS_EXT_RXN_27964350d2e0
37,MARTS_EXT_RXN_29704a84d49c
38,MARTS_EXT_RXN_29bbf964d264
39,MARTS_EXT_RXN_2a8513f7b1f9
40,MARTS_EXT_RXN_2d4d4df1341b
41,MARTS_EXT_RXN_2d848cafa6c3
42,MARTS_EXT_RXN_2e27139e482a
43,MARTS_EXT_RXN_2e59d1c7b929
44,MARTS_EXT_RXN_2e5de5bb57ab
45,MARTS_EXT_RXN_2ffb342ca060
46,MARTS_EXT_RXN_308ae5d61a8d
47,MARTS_EXT_RXN_318de1e2f880
48,MARTS_EXT_RXN_324ed07f2f6e
49,MARTS_EXT_RXN_33b3f74378db
50,MARTS_EXT_RXN_37c622385e92
51,MARTS_EXT_RXN_380c83705f05
52,MARTS_EXT_RXN_38d26f0aa1b1
53,MARTS_EXT_RXN_3abc72608e40
54,MARTS_EXT_RXN_3ae1fc659b14
55,MARTS_EXT_RXN_3bed24cf1ac1
56,MARTS_EXT_RXN_3d09cb5fb800
57,MARTS_EXT_RXN_3fcdccf20787
58,MARTS_EXT_RXN_4016ec72d95a
59,MARTS_EXT_RXN_412a1f752827
60,MARTS_EXT_RXN_42bfdab7b6fd
61,MARTS_EXT_RXN_4356ef28995d
62,MARTS_EXT_RXN_455979525191
63,MARTS_EXT_RXN_45be1b4caa76
64,MARTS_EXT_RXN_480dcc05c335
65,MARTS_EXT_RXN_4959109219e5
66,MARTS_EXT_RXN_4b39e8d478ce
67,MARTS_EXT_RXN_4b410b511327
68,MARTS_EXT_RXN_4c4ba4bc0549
69,MARTS_EXT_RXN_4ceba15356bf
70,MARTS_EXT_RXN_4cfa7e6347ac
71,MARTS_EXT_RXN_4d9779092922
72,MARTS_EXT_RXN_4e8885af0277
73,MARTS_EXT_RXN_4f0796dda836
74,MARTS_EXT_RXN_4fcf7c82c333
75,MARTS_EXT_RXN_4ffa9a18599e
76,MARTS_EXT_RXN_510852dd5fb5
77,MARTS_EXT_RXN_51c6e7c89344
78,MARTS_EXT_RXN_5298c5c71be1
79,MARTS_EXT_RXN_529b3e1ea6d5
80,MARTS_EXT_RXN_54f511ec7632
81,MARTS_EXT_RXN_55f4259a8324
82,MARTS_EXT_RXN_574cd0378c5f
83,MARTS_EXT_RXN_5834b8bc5c28
84,MARTS_EXT_RXN_5904725d5317
85,MARTS_EXT_RXN_5aa1e407cf39
86,MARTS_EXT_RXN_5c2828b66ca0
87,MARTS_EXT_RXN_5d4a8a447c7e
88,MARTS_EXT_RXN_5d8d9a77365d
89,MARTS_EXT_RXN_5e756bc9af81
90,MARTS_EXT_RXN_5ebefc2c5944
91,MARTS_EXT_RXN_5f7500503126
92,MARTS_EXT_RXN_6029eb5c9a03
93,MARTS_EXT_RXN_605fa04e8467
94,MARTS_EXT_RXN_6290a24f780c
95,MARTS_EXT_RXN_6314ab7563ea
96,MARTS_EXT_RXN_6385ac1fa7a9
97,MARTS_EXT_RXN_63e6da659221
98,MARTS_EXT_RXN_66951c0e7ed9
99,MARTS_EXT_RXN_66c7e35bfd6a
100,MARTS_EXT_RXN_66d9eb264140
101,MARTS_EXT_RXN_6705f601fdae
102,MARTS_EXT_RXN_68261f5fd64c
103,MARTS_EXT_RXN_68d7c7a6b97f
104,MARTS_EXT_RXN_697ad0951949
105,MARTS_EXT_RXN_6b2dcf26c892
106,MARTS_EXT_RXN_6bd0977b42d0
107,MARTS_EXT_RXN_6c1cbb35db92
108,MARTS_EXT_RXN_6c228262ac8f
109,MARTS_EXT_RXN_6c7d3c1df7ff
110,MARTS_EXT_RXN_6d6aa67d85ad
111,MARTS_EXT_RXN_714817f4ca78
112,MARTS_EXT_RXN_7160470e8992
113,MARTS_EXT_RXN_71aa03bcb508
114,MARTS_EXT_RXN_71bb2acc38af
115,MARTS_EXT_RXN_7345bb901e40
116,MARTS_EXT_RXN_747e48195053
117,MARTS_EXT_RXN_76499a11d465
118,MARTS_EXT_RXN_76627c4c8e95
119,MARTS_EXT_RXN_769df5ece0f3
120,MARTS_EXT_RXN_771248cd18de
121,MARTS_EXT_RXN_781f3e745c61
122,MARTS_EXT_RXN_78399ec4fc85
123,MARTS_EXT_RXN_7844025b0372
124,MARTS_EXT_RXN_78f709de4b7c
125,MARTS_EXT_RXN_79368a2476ac
126,MARTS_EXT_RXN_7b0cfb7bb82c
127,MARTS_EXT_RXN_7c05abd7a600
128,MARTS_EXT_RXN_7c41968d1cff
129,MARTS_EXT_RXN_832dbc506db6
130,MARTS_EXT_RXN_848e51b53c9f
131,MARTS_EXT_RXN_8551b0818261
132,MARTS_EXT_RXN_86983edabe8c
133,MARTS_EXT_RXN_86a30d47d9f4
134,MARTS_EXT_RXN_86ad65662f49
135,MARTS_EXT_RXN_86ce128d7d61
136,MARTS_EXT_RXN_87203dec8e34
137,MARTS_EXT_RXN_877408d79e1b
138,MARTS_EXT_RXN_890006655690
139,MARTS_EXT_RXN_8b03f1de5fce
140,MARTS_EXT_RXN_8c6cae136e8b
141,MARTS_EXT_RXN_8d049834636c
142,MARTS_EXT_RXN_8d2492a66172
143,MARTS_EXT_RXN_8d7f7dd54117
144,MARTS_EXT_RXN_8e685e0c0b69
145,MARTS_EXT_RXN_908734b433c3
146,MARTS_EXT_RXN_90bccccecf9c
147,MARTS_EXT_RXN_9239c973f487
148,MARTS_EXT_RXN_92f6ef4d14a5
149,MARTS_EXT_RXN_932a9e24c662
150,MARTS_EXT_RXN_95048e61f00d
151,MARTS_EXT_RXN_96ac57c79326
152,MARTS_EXT_RXN_9799d98e2a75
153,MARTS_EXT_RXN_9864ce62f34c
154,MARTS_EXT_RXN_98758b30deaf
155,MARTS_EXT_RXN_9927ff5db9e4
