seed,epoch,loss,contrastive_loss,reaction_loss,protein_loss,anchor_loss,protein_anchor_loss,reaction_anchor_loss,anchor_weight,freeze_protein_tower,freeze_reaction_tower,reaction_negative_exclusion_rate,protein_negative_exclusion_rate
20260723,1.0,2.3451058864593506,2.3451058864593506,2.3584132194519043,2.331798553466797,0.0,0.0,0.0,0.0,False,True,0.010603351887464307,0.0055055198322755405
20260723,25.0,1.753125548362732,1.753125548362732,1.7912516593933105,1.7149994373321533,0.0,0.0,0.0,0.0,False,True,0.010603351887464307,0.0055055198322755405
20260723,50.0,1.5194647312164307,1.5194647312164307,1.5241872072219849,1.5147422552108765,0.0,0.0,0.0,0.0,False,True,0.010603351887464307,0.0055055198322755405
20260723,75.0,1.3718178272247314,1.3718178272247314,1.3544118404388428,1.3892239332199097,0.0,0.0,0.0,0.0,False,True,0.010603351887464307,0.0055055198322755405
20260723,100.0,1.2527995109558105,1.2527995109558105,1.217613935470581,1.2879852056503296,0.0,0.0,0.0,0.0,False,True,0.010603351887464307,0.0055055198322755405
20260724,1.0,2.3743810653686523,2.3743810653686523,2.4200024604797363,2.3287596702575684,0.0,0.0,0.0,0.0,False,True,0.010603351887464307,0.0055055198322755405
20260724,25.0,1.7453536987304688,1.7453536987304688,1.787968635559082,1.702738881111145,0.0,0.0,0.0,0.0,False,True,0.010603351887464307,0.0055055198322755405
20260724,50.0,1.5315001010894775,1.5315001010894775,1.5403448343276978,1.5226553678512573,0.0,0.0,0.0,0.0,False,True,0.010603351887464307,0.0055055198322755405
20260724,75.0,1.3811585903167725,1.3811585903167725,1.3704466819763184,1.391870379447937,0.0,0.0,0.0,0.0,False,True,0.010603351887464307,0.0055055198322755405
20260724,100.0,1.276134729385376,1.276134729385376,1.243082046508789,1.3091872930526733,0.0,0.0,0.0,0.0,False,True,0.010603351887464307,0.0055055198322755405
20260725,1.0,2.3653721809387207,2.3653721809387207,2.390843629837036,2.3399009704589844,0.0,0.0,0.0,0.0,False,True,0.010603351887464307,0.0055055198322755405
20260725,25.0,1.752457857131958,1.752457857131958,1.7792062759399414,1.7257095575332642,0.0,0.0,0.0,0.0,False,True,0.010603351887464307,0.0055055198322755405
20260725,50.0,1.5364962816238403,1.5364962816238403,1.5344988107681274,1.5384937524795532,0.0,0.0,0.0,0.0,False,True,0.010603351887464307,0.0055055198322755405
20260725,75.0,1.382810354232788,1.382810354232788,1.34012770652771,1.4254928827285767,0.0,0.0,0.0,0.0,False,True,0.010603351887464307,0.0055055198322755405
20260725,100.0,1.2563714981079102,1.2563714981079102,1.2124762535095215,1.3002666234970093,0.0,0.0,0.0,0.0,False,True,0.010603351887464307,0.0055055198322755405
