row,1,2,3,4,5,6,7,8,9,10,11,12
A,MARTS_EXT_RXN_0bc621c08854|discovery_candidate|WDE20677.1,MARTS_EXT_RXN_0bc621c08854|discovery_candidate|UPI41561.1,MARTS_EXT_RXN_8d7f7dd54117|discovery_candidate|A0A1H7UDD2,MARTS_EXT_RXN_8d7f7dd54117|discovery_candidate|A7NH01,MARTS_EXT_RXN_27964350d2e0|discovery_candidate|A0A5N5W9J0,MARTS_EXT_RXN_27964350d2e0|discovery_candidate|I2N045,MARTS_EXT_RXN_45be1b4caa76|discovery_candidate|marts_E00881,MARTS_EXT_RXN_45be1b4caa76|discovery_candidate|marts_E00039,MARTS_EXT_RXN_23432a8b720a|discovery_candidate|A0A094YZ24,MARTS_EXT_RXN_23432a8b720a|discovery_candidate|G0Y287,MARTS_EXT_RXN_79368a2476ac|discovery_candidate|Q2QQJ5,MARTS_EXT_RXN_79368a2476ac|discovery_candidate|G9M5S4
B,MARTS_EXT_RXN_0bc621c08854|discovery_candidate|Q49SP4,MARTS_EXT_RXN_0bc621c08854|discovery_candidate|marts_E00881,MARTS_EXT_RXN_8d7f7dd54117|discovery_candidate|C7PLV2,MARTS_EXT_RXN_8d7f7dd54117|discovery_candidate|A0A562T706,MARTS_EXT_RXN_27964350d2e0|discovery_candidate|A0A1V0QSG9,MARTS_EXT_RXN_27964350d2e0|discovery_candidate|J2T8D5,MARTS_EXT_RXN_45be1b4caa76|discovery_candidate|B9S1N2,MARTS_EXT_RXN_45be1b4caa76|discovery_candidate|UPI41561.1,MARTS_EXT_RXN_23432a8b720a|discovery_candidate|G0Y288,MARTS_EXT_RXN_23432a8b720a|discovery_candidate|A0A1L9WUM2,MARTS_EXT_RXN_79368a2476ac|discovery_candidate|P9WEY6,MARTS_EXT_RXN_79368a2476ac|discovery_candidate|A0A345ZQ31
C,MARTS_EXT_RXN_0bc621c08854|discovery_candidate|WDE20676.1,MARTS_EXT_RXN_0bc621c08854|discovery_candidate|A0A1J0CQ86,MARTS_EXT_RXN_8d7f7dd54117|discovery_candidate|Q9K499,MARTS_EXT_RXN_8d7f7dd54117|discovery_candidate|Q8YN85,MARTS_EXT_RXN_27964350d2e0|discovery_candidate|A0A2Z6FZ31,MARTS_EXT_RXN_27964350d2e0|discovery_candidate|A0A7W5F0P0,MARTS_EXT_RXN_45be1b4caa76|discovery_candidate|M1VDX3,MARTS_EXT_RXN_45be1b4caa76|discovery_candidate|marts_E00793,MARTS_EXT_RXN_23432a8b720a|discovery_candidate|O06728,MARTS_EXT_RXN_23432a8b720a|discovery_candidate|G0Y286,MARTS_EXT_RXN_79368a2476ac|discovery_candidate|A4KAG8,MARTS_EXT_RXN_79368a2476ac|discovery_candidate|M4HYC8
D,MARTS_EXT_RXN_0bc621c08854|discovery_candidate|WDE20679.1,MARTS_EXT_RXN_0bc621c08854|discovery_candidate|marts_E00440,MARTS_EXT_RXN_8d7f7dd54117|discovery_candidate|P55539,MARTS_EXT_RXN_8d7f7dd54117|discovery_candidate|WP_157383393,MARTS_EXT_RXN_27964350d2e0|discovery_candidate|R9QMR5,MARTS_EXT_RXN_27964350d2e0|discovery_candidate|A0A561SAF2,MARTS_EXT_RXN_45be1b4caa76|discovery_candidate|marts_E00648,MARTS_EXT_RXN_45be1b4caa76|discovery_candidate|marts_E00440,MARTS_EXT_RXN_23432a8b720a|discovery_candidate|A0A010YQZ8,MARTS_EXT_RXN_23432a8b720a|discovery_candidate|B5GRC8,MARTS_EXT_RXN_79368a2476ac|discovery_candidate|A4KAG7,MARTS_EXT_RXN_79368a2476ac|discovery_candidate|G9M5S5
E,MARTS_EXT_RXN_0bc621c08854|discovery_candidate|marts_E00649,MARTS_EXT_RXN_0bc621c08854|positive_control_primary|marts_E00439,MARTS_EXT_RXN_8d7f7dd54117|discovery_candidate|A0A979G5X7,MARTS_EXT_RXN_8d7f7dd54117|positive_control_primary|A0A979G646,MARTS_EXT_RXN_27964350d2e0|discovery_candidate|C7PLV2,MARTS_EXT_RXN_27964350d2e0|positive_control_primary|WP_150521282,MARTS_EXT_RXN_45be1b4caa76|discovery_candidate|marts_E00040,MARTS_EXT_RXN_45be1b4caa76|positive_control_primary|marts_E00826,MARTS_EXT_RXN_23432a8b720a|discovery_candidate|A0A1H7UDD2,MARTS_EXT_RXN_23432a8b720a|positive_control_primary|M5AW86,MARTS_EXT_RXN_79368a2476ac|discovery_candidate|Q6Z5J6,MARTS_EXT_RXN_79368a2476ac|positive_control_primary|A0A8T0VMU7
F,MARTS_EXT_RXN_0bc621c08854|discovery_candidate|marts_E00650,MARTS_EXT_RXN_0bc621c08854|positive_control_replicate|marts_E00439,MARTS_EXT_RXN_8d7f7dd54117|discovery_candidate|J2T8D5,MARTS_EXT_RXN_8d7f7dd54117|positive_control_replicate|A0A979G646,MARTS_EXT_RXN_27964350d2e0|discovery_candidate|O07333,MARTS_EXT_RXN_27964350d2e0|positive_control_replicate|WP_150521282,MARTS_EXT_RXN_45be1b4caa76|discovery_candidate|7S5L_A,MARTS_EXT_RXN_45be1b4caa76|positive_control_replicate|marts_E00826,MARTS_EXT_RXN_23432a8b720a|discovery_candidate|A0A0U5CJU6,MARTS_EXT_RXN_23432a8b720a|positive_control_replicate|M5AW86,MARTS_EXT_RXN_79368a2476ac|discovery_candidate|A0A1X9ISH5,MARTS_EXT_RXN_79368a2476ac|positive_control_replicate|A0A8T0VMU7
G,MARTS_EXT_RXN_0bc621c08854|discovery_candidate|WP_186376445,MARTS_EXT_RXN_0bc621c08854|empty_vector_negative|EMPTY_VECTOR,MARTS_EXT_RXN_8d7f7dd54117|discovery_candidate|A0A3N4M544,MARTS_EXT_RXN_8d7f7dd54117|empty_vector_negative|EMPTY_VECTOR,MARTS_EXT_RXN_27964350d2e0|discovery_candidate|M1V9Q0,MARTS_EXT_RXN_27964350d2e0|empty_vector_negative|EMPTY_VECTOR,MARTS_EXT_RXN_45be1b4caa76|discovery_candidate|F1A1D6,MARTS_EXT_RXN_45be1b4caa76|empty_vector_negative|EMPTY_VECTOR,MARTS_EXT_RXN_23432a8b720a|discovery_candidate|A9JQL9,MARTS_EXT_RXN_23432a8b720a|empty_vector_negative|EMPTY_VECTOR,MARTS_EXT_RXN_79368a2476ac|discovery_candidate|G9M5S6,MARTS_EXT_RXN_79368a2476ac|empty_vector_negative|EMPTY_VECTOR
H,MARTS_EXT_RXN_0bc621c08854|discovery_candidate|SRA.SRR18681978,MARTS_EXT_RXN_0bc621c08854|substrate_process_blank|NO_ENZYME,MARTS_EXT_RXN_8d7f7dd54117|discovery_candidate|B2J4A4,MARTS_EXT_RXN_8d7f7dd54117|substrate_process_blank|NO_ENZYME,MARTS_EXT_RXN_27964350d2e0|discovery_candidate|A0A1H1T2Q7,MARTS_EXT_RXN_27964350d2e0|substrate_process_blank|NO_ENZYME,MARTS_EXT_RXN_45be1b4caa76|discovery_candidate|marts_E00794,MARTS_EXT_RXN_45be1b4caa76|substrate_process_blank|NO_ENZYME,MARTS_EXT_RXN_23432a8b720a|discovery_candidate|A0A142ZC57,MARTS_EXT_RXN_23432a8b720a|substrate_process_blank|NO_ENZYME,MARTS_EXT_RXN_79368a2476ac|discovery_candidate|A0A135LYJ9,MARTS_EXT_RXN_79368a2476ac|substrate_process_blank|NO_ENZYME
