epoch,loss,pointwise_loss,relational_loss,variance_loss,train_mean_cosine,validation_mean_cosine,validation_p10_cosine
1,0.5123194061046423,0.4996664059716602,0.05061181281628304,9.651474017097594e-07,0.6134331822395325,0.5769749879837036,0.38218038976192475
5,0.25879963296790454,0.2566447538691898,0.008619278052085361,1.191839590657849e-06,0.7817162275314331,0.6676816940307617,0.44614141881465913
10,0.19539713339750156,0.1940310576627421,0.0054639645873807196,1.674018486208001e-06,0.8358489274978638,0.6815730929374695,0.43919968903064727
15,0.17097376009752585,0.1698782783608104,0.00438171922673233,1.0478540579517655e-06,0.858087956905365,0.6847288608551025,0.4350870460271835
20,0.15481317147266033,0.1538421217092248,0.0038839578466100056,1.2144795788159638e-06,0.8705959320068359,0.6849582195281982,0.4319986641407013
25,0.14803429918233738,0.14711577375960905,0.0036739171536769285,9.157185220744374e-07,0.879885196685791,0.6854027509689331,0.4341790974140167
30,0.14161695228066556,0.140733657881271,0.003532760321747425,2.0928072085235875e-06,0.886243462562561,0.6844075918197632,0.43039014637470246
35,0.13676611143489217,0.1358779462617497,0.0035524622179827717,1.000107108983536e-06,0.8896192908287048,0.6851682662963867,0.429410856962204
40,0.12936906655167424,0.12851258609877075,0.0034257706801601967,7.459084160875009e-07,0.8940072059631348,0.6847421526908875,0.429087233543396
45,0.1260325217316317,0.12523826800806578,0.0031768769827173198,6.672958396700059e-07,0.8961688876152039,0.6849084496498108,0.42964740693569187
50,0.12591445809879967,0.1250625502231509,0.0034073813504344502,1.2480144674597352e-06,0.8986258506774902,0.6857712864875793,0.4255472600460053
55,0.12108364909194237,0.12030594172172768,0.0031106470661714327,8.985664672488997e-07,0.9007430672645569,0.6848991513252258,0.43015587627887725
60,0.12100960886062578,0.12020265570906706,0.0032275599200105253,1.255474777534864e-06,0.9023035168647766,0.6843968033790588,0.4243650734424591
65,0.11992261472136476,0.11916075248357862,0.0030472774524241686,8.505718819093133e-07,0.9036256074905396,0.6850296258926392,0.42778705060482025
70,0.11684950527756713,0.11607239343399225,0.003108339887762139,5.389259925767303e-07,0.9049687385559082,0.6848670244216919,0.4256829530000687
75,0.11416575988364774,0.1134453453989916,0.0028816113264711445,2.2942896426092226e-07,0.9059407711029053,0.6847987771034241,0.4277190178632736
80,0.11461824248003405,0.11388022435265918,0.0029519136486098516,7.935721991681169e-07,0.9065575003623962,0.6839817762374878,0.42319815456867216
85,0.11276962330868077,0.11203193058108174,0.0029506503095373857,5.988968887534209e-07,0.9080003499984741,0.6854566931724548,0.4251724541187286
90,0.11280010709928912,0.11205853123304456,0.0029661340833923152,8.434162314082388e-07,0.9087181091308594,0.6855490803718567,0.42336389422416687
95,0.1111404620284258,0.11042434756838998,0.0028643965921473016,2.9399115890047926e-07,0.908796489238739,0.6847103834152222,0.4169042885303498
100,0.11031297966837883,0.10958410400983899,0.0029153446233723054,7.942429409351546e-07,0.9094035029411316,0.6852627992630005,0.42956162989139557
105,0.11071135710145152,0.10997937481070674,0.0029278102244228816,5.95459210291115e-07,0.9102632403373718,0.6848942041397095,0.42407738566398623
110,0.10955570776795232,0.10878100315498751,0.0030984287177277512,1.956149326572411e-06,0.9114198684692383,0.6857607364654541,0.42358527779579164
115,0.10823059134012045,0.10751285317332246,0.0028707209492622072,1.1578178050830353e-06,0.9118268489837646,0.6847707629203796,0.4195214927196503
120,0.10720809150573819,0.10651411029488542,0.0027758485913753164,3.8613177102254055e-07,0.9121421575546265,0.6850757002830505,0.42383363246917727
125,0.10815588662097621,0.10745580009249754,0.002800148608552855,1.0003987395172116e-06,0.9121991395950317,0.6847927570343018,0.4248860776424408
130,0.1085384125972903,0.10783061090596886,0.002831020692991483,9.181590982290461e-07,0.9131230711936951,0.684984564781189,0.4234261929988861
135,0.10799675556116325,0.10726736433977305,0.002917405672717926,7.905310180937048e-07,0.9125789403915405,0.6844651699066162,0.42654680609703066
140,0.10626964929491975,0.10554150561260622,0.002912498149630982,3.8563480619666015e-07,0.9129403829574585,0.6845062375068665,0.4200046002864838
145,0.10411991967364799,0.10342758876639743,0.002769232153632613,4.5136280383557343e-07,0.9138668179512024,0.6856475472450256,0.4229830354452133
