reaction_id,rhea_id,status,gate_hit,n_candidates,n_scored_candidates,n_positive_enzymes,n_scored_positive_enzymes,best_positive_rank,best_positive_enzyme_id,best_positive_score,top1_hit,top3_hit,top5_hit,top10_hit,top10_enzyme_ids,top10_scores,reciprocal_rank
RHEA:80395,RHEA:80395,ok,True,96,96,1,1,13.0,A0A1V0QSH2,0.0,False,False,False,False,"[""A0A0M3Q1Q3"", ""A0A1C9J6A7"", ""A0A1D6LTV0"", ""A0A1V0QSF3"", ""A0A1V0QSF4"", ""A0A1V0QSF6"", ""A0A1V0QSF8"", ""A0A1V0QSF9"", ""A0A1V0QSG0"", ""A0A1V0QSG1""]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.07692307692307693
RHEA:80399,RHEA:80399,ok,False,24,0,1,0,,,,False,False,False,False,[],[],0.0
RHEA:80403,RHEA:80403,ok,False,23,0,1,0,,,,False,False,False,False,[],[],0.0
RHEA:80407,RHEA:80407,ok,False,21,0,1,0,,,,False,False,False,False,[],[],0.0
RHEA:80863,RHEA:80863,ok,False,56,0,1,0,,,,False,False,False,False,[],[],0.0
RHEA:80867,RHEA:80867,ok,False,14,0,1,0,,,,False,False,False,False,[],[],0.0
RHEA:80871,RHEA:80871,ok,True,8,8,1,1,5.0,Q4WBI3,0.0,False,False,True,True,"[""A0A125SXN1"", ""A0A3G9H8P0"", ""A4DA41"", ""Q4WBI0"", ""Q4WBI3"", ""Q4WBI5"", ""Q4WLD1"", ""Q9SYN1""]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.2
RHEA:80875,RHEA:80875,ok,True,9,9,1,1,3.0,Q4WBI3,8.151407e-22,False,True,True,True,"[""Q4WBI5"", ""A0A455RAK9"", ""Q4WBI3"", ""P0C8Y0"", ""Q4WLD1"", ""A0A455R7E6"", ""A4DA41"", ""A0A3G9GX61"", ""Q4WBI0""]","[3.8400983e-21, 1.2050124000000001e-21, 8.151407e-22, 2.7181152e-23, 1.5052595e-24, 8.805693e-25, 5.985681299999999e-25, 5.834057000000001e-25, 1.3466672e-25]",0.3333333333333333
RHEA:80879,RHEA:80879,ok,True,18,18,1,1,7.0,Q4WBI0,0.9278754,False,False,False,True,"[""A0A455R5P9"", ""A0A3G9GUR6"", ""P9WEG1"", ""Q4WBH9"", ""A0A1Y0BRF1"", ""B6HV32"", ""Q4WBI0"", ""A0A0F7U103"", ""A0A1E1FFN8"", ""A0A097ZPE0""]","[0.99348843, 0.98798114, 0.97578955, 0.9590257, 0.9529991, 0.9350166, 0.9278754, 0.92733985, 0.92344594, 0.9169326]",0.14285714285714285
RHEA:80883,RHEA:80883,ok,True,18,18,1,1,16.0,Q4WBI0,0.9999411,False,False,False,False,"[""A0A3G9GUR6"", ""A0A455R5P9"", ""P9WEG1"", ""A0A1Y0BRF1"", ""A0A0F7U103"", ""A0A1E1FFN8"", ""B6HV32"", ""A0A097ZPE0"", ""Q4WBH9"", ""A0A0U5GFS8""]","[0.99999976, 0.99999976, 0.99999917, 0.99999845, 0.9999981, 0.9999981, 0.9999981, 0.9999968, 0.99999666, 0.9999956]",0.0625
RHEA:81103,RHEA:81103,ok,False,50,0,2,0,,,,False,False,False,False,[],[],0.0
RHEA:81219,RHEA:81219,ok,True,33,33,1,1,15.0,B9SIM2,0.0,False,False,False,False,"[""A0A075FBT3"", ""A0A0U4CDK4"", ""A0A1U8QHE3"", ""A0A1Z3GBK8"", ""A0A1Z3GC64"", ""A0A2K9RFY0"", ""A0A2K9RFZ2"", ""A0A2K9RFZ9"", ""A0A3G1QTS7"", ""A0A5P8DI06""]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.06666666666666667
RHEA:81223,RHEA:81223,ok,True,34,34,1,1,14.0,B9SIL7,0.0,False,False,False,False,"[""A0A075FBT3"", ""A0A0U4CDK4"", ""A0A1U8QHE3"", ""A0A1Z3GBK8"", ""A0A1Z3GC64"", ""A0A2K9RFY0"", ""A0A2K9RFZ2"", ""A0A2K9RFZ9"", ""A0A3G1QTS7"", ""A0A5P8DI06""]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.07142857142857142
RHEA:81231,RHEA:81231,ok,False,11,0,1,0,,,,False,False,False,False,[],[],0.0
RHEA:81463,RHEA:81463,ok,True,29,29,1,1,16.0,Q4KSH9,0.0,False,False,False,False,"[""A0A1D6EFT8"", ""A0A291LSD6"", ""A0A3L6G2C1"", ""B1B1U4"", ""B5HDJ6"", ""F2XFA0"", ""G8H5N1"", ""I1S104"", ""O13489"", ""O59947""]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0625
RHEA:81851,RHEA:81851,ok,True,40,38,1,1,18.0,K7NBZ9,0.0,False,False,False,False,"[""Q9LVY2"", ""A8C981"", ""A0A067ECN5"", ""A0A067FI21"", ""A0A0S2IHL6"", ""A0A0U2U4F3"", ""A0A125SXN1"", ""A0A5B8NBE6"", ""A0A5B8NBN0"", ""A0AAW1L0L7""]","[1.834105e-36, 1.1790835e-38, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.05555555555555555
RHEA:83287,RHEA:83287,ok,False,45,0,1,0,,,,False,False,False,False,[],[],0.0
RHEA:83523,RHEA:83523,ok,True,19,19,1,1,19.0,P9WEG8,0.0004888424,False,False,False,False,"[""A0A0U5GFS8"", ""A0A455R5P9"", ""A0A097ZPE0"", ""P9WEG1"", ""Q5ATJ7"", ""A0A1Y0BRF1"", ""B6HV32"", ""Q4WBH9"", ""A0A2I1BSV9"", ""A0A0F7U103""]","[0.9676216, 0.96644497, 0.96578026, 0.96451, 0.9611484, 0.9577247, 0.95455766, 0.9537798, 0.9524027, 0.9473537]",0.05263157894736842
RHEA:83527,RHEA:83527,ok,True,19,19,1,1,19.0,P9WEG8,0.0006518743,False,False,False,False,"[""A0A0U5GFS8"", ""A0A455R5P9"", ""A0A097ZPE0"", ""P9WEG1"", ""Q5ATJ7"", ""A0A1Y0BRF1"", ""Q4WBH9"", ""B6HV32"", ""A0A2I1BSV9"", ""A0A0F7U103""]","[0.9761569, 0.9756447, 0.9743935, 0.9734947, 0.97095436, 0.96836054, 0.96630424, 0.9659662, 0.964784, 0.96116745]",0.05263157894736842
RHEA:83903,RHEA:83903,ok,False,13,0,1,0,,,,False,False,False,False,[],[],0.0
RHEA:83907,RHEA:83907,ok,False,13,0,1,0,,,,False,False,False,False,[],[],0.0
RHEA:85535,RHEA:85535,ok,False,39,0,1,0,,,,False,False,False,False,[],[],0.0
RHEA:85615,RHEA:85615,ok,False,31,0,2,0,,,,False,False,False,False,[],[],0.0
RHEA:85619,RHEA:85619,ok,True,67,66,2,2,4.0,A0A8H7XQ49,1.4538643e-31,False,False,True,True,"[""A0A8H7XMX0"", ""B5GMG2"", ""D5SL78"", ""A0A8H7XQ49"", ""A0A8H8CFI5"", ""A0A8H7XP09"", ""Q54YE2"", ""B5A434"", ""F6M8I0"", ""Q84KL4""]","[7.4778913e-31, 3.759346e-31, 2.8540523e-31, 1.4538643e-31, 6.580485e-32, 2.8965747e-32, 4.958017e-37, 3.436205e-37, 2.445499e-37, 4.2478247e-38]",0.25
RHEA:85623,RHEA:85623,ok,False,19,0,1,0,,,,False,False,False,False,[],[],0.0
RHEA:85767,RHEA:85767,ok,False,66,0,1,0,,,,False,False,False,False,[],[],0.0
