reaction_id,reaction_signature,reaction_smiles,reaction_seen,cluster_id
MARTS_RXN_6029eb5c9a034ccf,C=C1CCC2C(C)(C)CCCC2(C)C1CCC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-]>>C=CC1(C)CCC2(C)C(CCC3(C)C(=C)CCCC32)C1,C=C1CC[C@@H]2C(C)(C)CCC[C@@]2(C)[C@@H]1CC/C(C)=C/COP(=O)([O-])OP(=O)([O-])[O-]>>C=C[C@@]1(C)CC[C@]2(C)[C@H](CC[C@]3(C)C(=C)CCC[C@@H]23)C1,False,C20_GGPP_like::MARTS_RXN_6029eb5c9a034ccf
MARTS_RXN_7c41968d1cff8894,C=C1CCC2C(C)(C)CCCC2(C)C1CCC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-]>>C=CC1(C)CCC2(O)C(CCC3C(C)(C)CCCC32C)C1,C=C1CC[C@H]2C(C)(C)CCC[C@]2(C)[C@@H]1CC/C(C)=C/COP(=O)([O-])OP(=O)([O-])[O-]>>C=C[C@@]1(C)CC[C@]2(O)C(CC[C@H]3C(C)(C)CCC[C@@]32C)C1,False,C20_GGPP_like::MARTS_RXN_7c41968d1cff8894
MARTS_RXN_d72149a152c41322,C=C1CCC2C(C)(C)CCCC2(C)C1CCC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-]>>C=CC1(C)CCC2C(=CCC3C(C)(C)CCCC23C)C1,C=C1CC[C@H]2C(C)(C)CCC[C@]2(C)[C@H]1CC/C(C)=C/COP(=O)([O-])OP(=O)([O-])[O-]>>C=C[C@@]1(C)CC[C@H]2C(=CC[C@H]3C(C)(C)CCC[C@]23C)C1,True,C20_GGPP_like::MARTS_RXN_78399ec4fc85c2fe
MARTS_RXN_480dcc05c3350db6,C=C1CCC2C(C)(C)CCCC2(C)C1CCC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-]>>C=CC1(C)CCC2C(O)(CCC3C(C)(C)CCCC32C)C1,C=C1CC[C@H]2C(C)(C)CCC[C@]2(C)[C@H]1CC/C(C)=C/COP(=O)([O-])OP(=O)([O-])[O-]>>C=C[C@@]1(C)CC[C@H]2[C@@](O)(CC[C@H]3C(C)(C)CCC[C@@]32C)C1,False,C20_GGPP_like::MARTS_RXN_480dcc05c3350db6
MARTS_RXN_1c7381e699705583,C=C1CCC2C(C)(C)CCCC2(C)C1CCC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-]>>C=CC1=CCC2C(CCC3C(C)(C)CCCC23C)C1C,C=C1CC[C@@H]2C(C)(C)CCC[C@@]2(C)[C@@H]1CC/C(C)=C/COP(=O)([O-])OP(=O)([O-])[O-]>>C=CC1=CC[C@@H]2[C@H](CC[C@@H]3C(C)(C)CCC[C@@]23C)[C@@H]1C,True,C20_GGPP_like::MARTS_RXN_1c7381e699705583
MARTS_RXN_0216267ce7f463bf,C=C1CCC2C(C)(C)CCCC2(C)C1CCC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-]>>CC(C)=C1C=C2CCC3C(C)(C)CCCC3(C)C2CC1,C=C1CC[C@H]2C(C)(C)CCC[C@]2(C)[C@H]1CC/C(C)=C/COP(=O)([O-])OP(=O)([O-])[O-]>>CC(C)=C1C=C2CC[C@H]3C(C)(C)CCC[C@]3(C)[C@H]2CC1,False,C20_GGPP_like::MARTS_RXN_0216267ce7f463bf
MARTS_RXN_79368a2476ac3bf7,C=C1CCC2C(C)(C)CCCC2(C)C1CCC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-]>>CC(C)C1(O)C=C2CCC3C(C)(C)CCCC3(C)C2CC1,C=C1CC[C@@H]2C(C)(C)CCC[C@@]2(C)[C@@H]1CC/C(C)=C/COP(=O)([O-])OP(=O)([O-])[O-]>>CC(C)C1(O)C=C2CC[C@@H]3C(C)(C)CCC[C@@]3(C)C2CC1,False,C20_GGPP_like::MARTS_RXN_0216267ce7f463bf
MARTS_RXN_29bbf964d264af82,C=C1CCC2C(C)(C)CCCC2(C)C1CCC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-]>>CC(C)C1=CC2=C(CC1)C1(C)CCCC(C)(C)C1CC2,C=C1CC[C@H]2C(C)(C)CCC[C@]2(C)[C@H]1CC/C(C)=C/COP(=O)([O-])OP(=O)([O-])[O-]>>CC(C)C1=CC2=C(CC1)[C@@]1(C)CCCC(C)(C)[C@@H]1CC2,False,C20_GGPP_like::MARTS_RXN_29bbf964d264af82
MARTS_RXN_4fcf7c82c3339eec,C=C1CCC2C(C)(C)CCCC2(C)C1CCC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-]>>CC(C)C1=CC2=CCC3C(C)(C)CCCC3(C)C2CC1,C=C1CC[C@H]2C(C)(C)CCC[C@]2(C)[C@H]1CC/C(C)=C/COP(=O)([O-])OP(=O)([O-])[O-]>>CC(C)C1=CC2=CC[C@H]3C(C)(C)CCC[C@]3(C)[C@H]2CC1,False,C20_GGPP_like::MARTS_RXN_0216267ce7f463bf
MARTS_RXN_23b0ccdf525591f4,C=C1CCC2C(C)(C)CCCC2(C)C1CCC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-]>>CC(C)C1=CC=C2C(CCC3C(C)(C)CCCC23C)C1,C=C1CC[C@@H]2C(C)(C)CCC[C@@]2(C)[C@@H]1CC/C(C)=C/COP(=O)([O-])OP(=O)([O-])[O-]>>CC(C)C1=CC=C2[C@@H](CC[C@@H]3C(C)(C)CCC[C@@]23C)C1,False,C20_GGPP_like::MARTS_RXN_23b0ccdf525591f4
