reaction_id,cluster_id
MARTS_RXN_eddada43cb766fb4,C25_GFPP_like::MARTS_RXN_eddada43cb766fb4
MARTS_RXN_f3ed30187499b84b,C25_GFPP_like::MARTS_RXN_6cb73ebd30231f0f
MARTS_RXN_247c337c8f6561fa,C25_GFPP_like::MARTS_RXN_247c337c8f6561fa
MARTS_RXN_0e80c1eb7cd88556,C25_GFPP_like::MARTS_RXN_0e80c1eb7cd88556
MARTS_RXN_b3860010df2b771f,C25_GFPP_like::MARTS_RXN_b3860010df2b771f
MARTS_RXN_3fcdccf20787302c,C25_GFPP_like::MARTS_RXN_3fcdccf20787302c
MARTS_RXN_7160470e8992848a,C25_GFPP_like::MARTS_RXN_033964ff02d82d4e
MARTS_RXN_5e033dc8337a67f2,C25_GFPP_like::MARTS_RXN_3bed24cf1ac1aa2f
MARTS_RXN_c33f8bcece70aea3,C25_GFPP_like::MARTS_RXN_3bed24cf1ac1aa2f
MARTS_RXN_9c359e8d58c70d61,C25_GFPP_like::MARTS_RXN_033964ff02d82d4e
MARTS_RXN_bac5b3b4b30df15d,C25_GFPP_like::MARTS_RXN_8b03f1de5fceaefb
MARTS_RXN_8b03f1de5fceaefb,C25_GFPP_like::MARTS_RXN_8b03f1de5fceaefb
MARTS_RXN_9927ff5db9e4a239,C25_GFPP_like::MARTS_RXN_76627c4c8e958b6b
MARTS_RXN_8c6cae136e8be45f,C25_GFPP_like::MARTS_RXN_66c7e35bfd6ad52c
MARTS_RXN_3bed24cf1ac1aa2f,C25_GFPP_like::MARTS_RXN_3bed24cf1ac1aa2f
MARTS_RXN_5c2828b66ca05388,C25_GFPP_like::MARTS_RXN_5c2828b66ca05388
MARTS_RXN_babe193a9f21e23b,C25_GFPP_like::MARTS_RXN_babe193a9f21e23b
MARTS_RXN_c9b279de04421c5d,C25_GFPP_like::MARTS_RXN_babe193a9f21e23b
MARTS_RXN_66c7e35bfd6ad52c,C25_GFPP_like::MARTS_RXN_66c7e35bfd6ad52c
MARTS_RXN_4abf2f089372495a,C25_GFPP_like::MARTS_RXN_4abf2f089372495a
